"script_path","experiment_module","figure_type","font_issue","linewidth_issue","colormap_issue","legend_issue","export_issue","notes"
"Aging/diagnostics/diagnose_highT_basis_comparison.m","aging","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area; legend appears in a dense multi-curve script where colorbar/direct labeling is preferred","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; writes to legacy flat results locations instead of run helper; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Aging/diagnostics/diagnose_linear_combo_switching.m","aging","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; writes to legacy flat results locations instead of run helper; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Aging/diagnostics/diagnose_mode1_separability.m","aging","multi-panel comparison","no explicit Helvetica/Arial font family","line widths mostly implicit","turbo used even though publication guide disallows it","legend not explicitly outside the plotting area","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; writes to legacy flat results locations instead of run helper; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; heatmap orientation not set explicitly; heatmap lacks explicit colorbar call; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units; mixed categorical and heatmap color policies in one script; check consistency across outputs"
"Aging/diagnostics/diagnose_shifted_basis_fit.m","aging","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; writes to legacy flat results locations instead of run helper; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Aging/diagnostics/diagnose_switching_regime_features.m","aging","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; writes to legacy flat results locations instead of run helper; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Aging/diagnostics/diagnose_waittime_to_current_mapping.m","aging","heatmap","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; writes to legacy flat results locations instead of run helper; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; heatmap orientation not set explicitly; heatmap lacks explicit colorbar call; publication figure size not controlled in centimeters/paper units"
"Aging/fitAFM_FM_MeanField_and_DipGaussian.m","aging","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Aging/fitAFM_FM_MeanField_and_DipLorentzian.m","aging","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Aging/models/analyzeAFM_FM_derivative.m","aging","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend not explicitly outside the plotting area","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; writes to legacy flat results locations instead of run helper; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Aging/models/fitFMstep_plus_GaussianDip.m","aging","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend not explicitly outside the plotting area","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Aging/models/reconstructSwitchingAmplitude.m","aging","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend not explicitly outside the plotting area","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Aging/pipeline/runPhaseC_leaveOneOut.m","aging","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; writes to legacy flat results locations instead of run helper; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Aging/pipeline/stage6_extractMetrics.m","aging","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; latex interpreter used; verify it is only for necessary notation","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area; legend appears in a dense multi-curve script where colorbar/direct labeling is preferred","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Aging/pipeline/stage8_globalJfit_shiftGating.m","aging","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Aging/pipeline/stage8_plotting.m","aging","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend not explicitly outside the plotting area; legend appears in a dense multi-curve script where colorbar/direct labeling is preferred","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Aging/pipeline/stage9_export.m","aging","observable curves","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; publication figure size not controlled in centimeters/paper units"
"Aging/plotAgingMemory.m","aging","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","jet colormap used","legend not explicitly outside the plotting area","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; publication figure size not controlled in centimeters/paper units"
"Aging/plots/plotAFM_FM_decomposition.m","aging","multi-panel comparison","no explicit Helvetica/Arial font family; uses review-scale 12+ pt typography instead of 8/9 pt publication sizing","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Aging/plots/plotAFM_FM_robustnessCheck.m","aging","multi-panel comparison","no explicit Helvetica/Arial font family; uses review-scale 12+ pt typography instead of 8/9 pt publication sizing","line widths mostly implicit","turbo used even though publication guide disallows it","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Aging/plots/plotAFM_FM_summary.m","aging","multi-panel comparison","no explicit Helvetica/Arial font family; uses review-scale 12+ pt typography instead of 8/9 pt publication sizing","line widths mostly implicit","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Aging/plots/plotAgingMemory.m","aging","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","","jet colormap used","legend not explicitly outside the plotting area","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; publication figure size not controlled in centimeters/paper units"
"Aging/plots/plotAgingMemory_AFM_vs_FM.m","aging","multi-panel comparison","no explicit Helvetica/Arial font family; uses review-scale 12+ pt typography instead of 8/9 pt publication sizing; labels use square-bracket units instead of publication parentheses","","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Aging/test_debug_infrastructure.m","aging","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Aging/utils/dbgFigure.m","aging","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; publication figure size not controlled in centimeters/paper units"
"Aging/utils/dbgSaveFig.m","aging","observable curves","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","","uses print-based export path; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; publication figure size not controlled in centimeters/paper units"
"Aging/utils/debugPlotGeometry.m","aging","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend not explicitly outside the plotting area","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Aging/utils/debugPlotSwitchingReconstruction.m","aging","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Aging/verification/verifyRobustBaseline_RealData.m","aging","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Aging/verification/verifyRobustBaseline_RealData_Main.m","aging","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"analysis/cross_experiment_observables.m","cross_experiment","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"analysis/switching_observable_summary.m","cross_experiment","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; heatmap orientation not set explicitly; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Relaxation ver3/aging_geometry_visualization.m","relaxation","heatmap","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","","legend not explicitly outside the plotting area","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; writes to legacy flat results locations instead of run helper","tick direction not explicitly set to out; full grid enabled in figure code; heatmap orientation not set explicitly; publication figure size not controlled in centimeters/paper units; mixed categorical and heatmap color policies in one script; check consistency across outputs"
"Relaxation ver3/analyzeRelaxationAdvanced.m","relaxation","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","","legend uses auto/best placement inside data region; legend appears in a dense multi-curve script where colorbar/direct labeling is preferred","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Relaxation ver3/diagnostics/analyze_relaxation_derivative_smoothing.m","relaxation","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","turbo used even though publication guide disallows it","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found","tick direction not explicitly set to out; full grid enabled in figure code; heatmap orientation not set explicitly; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units; mixed categorical and heatmap color policies in one script; check consistency across outputs"
"Relaxation ver3/diagnostics/compare_relaxation_models.m","relaxation","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area; legend appears in a dense multi-curve script where colorbar/direct labeling is preferred","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Relaxation ver3/diagnostics/diagnose_tau_beta_degeneracy.m","relaxation","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Relaxation ver3/diagnostics/relaxation_corrected_geometry_analysis.m","relaxation","heatmap","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","turbo used even though publication guide disallows it","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found","tick direction not explicitly set to out; full grid enabled in figure code; heatmap orientation not set explicitly; publication figure size not controlled in centimeters/paper units; mixed categorical and heatmap color policies in one script; check consistency across outputs"
"Relaxation ver3/diagnostics/render_relaxation_derivative_interpretable.m","relaxation","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","turbo used even though publication guide disallows it","legend uses auto/best placement inside data region","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; heatmap orientation not set explicitly; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units; mixed categorical and heatmap color policies in one script; check consistency across outputs"
"Relaxation ver3/diagnostics/run_relaxation_coordinate_extraction.m","relaxation","observable curves","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","inherits save_run_figure limitations: no PDF, PNG only at 300 dpi; no PDF/vector export found","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Relaxation ver3/diagnostics/run_relaxation_geometry_observables.m","relaxation","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","","","inherits save_run_figure limitations: no PDF, PNG only at 300 dpi; no PDF/vector export found","tick direction not explicitly set to out; full grid enabled in figure code; heatmap orientation not set explicitly; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units; mixed categorical and heatmap color policies in one script; check consistency across outputs"
"Relaxation ver3/diagnostics/run_relaxation_svd_audit.m","relaxation","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","inherits save_run_figure limitations: no PDF, PNG only at 300 dpi; no PDF/vector export found","tick direction not explicitly set to out; full grid enabled in figure code; heatmap orientation not set explicitly; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units; mixed categorical and heatmap color policies in one script; check consistency across outputs"
"Relaxation ver3/diagnostics/run_relaxation_time_mode_analysis.m","relaxation","time cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area; legend appears in a dense multi-curve script where colorbar/direct labeling is preferred","inherits save_run_figure limitations: no PDF, PNG only at 300 dpi; no PDF/vector export found","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Relaxation ver3/diagnostics/run_relaxation_timelaw_observables.m","relaxation","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area; legend appears in a dense multi-curve script where colorbar/direct labeling is preferred","inherits save_run_figure limitations: no PDF, PNG only at 300 dpi; no PDF/vector export found","tick direction not explicitly set to out; full grid enabled in figure code; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Relaxation ver3/diagnostics/survey_relaxation_observables.m","relaxation","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","","","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found","tick direction not explicitly set to out; full grid enabled in figure code; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Relaxation ver3/diagnostics/validate_relaxation_band_boundaries.m","relaxation","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","turbo used even though publication guide disallows it","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area; legend appears in a dense multi-curve script where colorbar/direct labeling is preferred","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found","tick direction not explicitly set to out; full grid enabled in figure code; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Relaxation ver3/diagnostics/visualize_relaxation_band_maps.m","relaxation","heatmap","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found","tick direction not explicitly set to out; full grid enabled in figure code; heatmap orientation not set explicitly; publication figure size not controlled in centimeters/paper units"
"Relaxation ver3/diagnostics/visualize_relaxation_geometry.m","relaxation","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","turbo used even though publication guide disallows it","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found","tick direction not explicitly set to out; full grid enabled in figure code; heatmap orientation not set explicitly; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units; mixed categorical and heatmap color policies in one script; check consistency across outputs"
"Relaxation ver3/main_relaxation.m","relaxation","temperature cuts","no explicit Helvetica/Arial font family; uses review-scale 12+ pt typography instead of 8/9 pt publication sizing","","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; publication figure size not controlled in centimeters/paper units"
"Relaxation ver3/overlayRelaxationFits.m","relaxation","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","jet colormap used","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
