id, referencing_repo_path, artifact_class, path_literal_or_resolver, concise_role_statement
INV015,Aging/analysis/run_aging_i1_replay_clm002_fm_tau.m,MATLAB_pure_script,tablesDir_datasetPath,I1 FM tau claimant scaffold
INV016,Aging/analysis/run_aging_i1_replay_clm003_fm_under_dip_clock.m,MATLAB_pure_script,tablesDir_datasetPath,I1 fm_under_dip_clock claimant
INV017,Aging/analysis/run_aging_i1_replay_clm008_highT_endpoint_diagnostic.m,MATLAB_pure_script,tablesDir_datasetPath,I1 high T endpoint diagnostics
INV018,Aging/analysis/run_aging_lowT_6_10_dip_only_rescue.m,MATLAB_pure_script,tables_mainDataset_csv_lowT_audit,low-T dip numeric rescue asserting five column headers kept
INV019,Aging/analysis/run_aging_lowT_6_10_fm_fit_vs_direct_diagnostic.m,MATLAB_pure_script,tbl_two_column_reader_path,FM direct vs analytic diagnostic ingest
INV020,Aging/analysis/run_aging_observable_dataset_consolidation.m,MATLAB_pure_script,out_tables_aging_destination_names,PRIMARY_CONSOLIDATOR_emitting_contract_CSV_sidecar_and_status
INV021,Aging/analysis/run_aging_rdr001_plot_io_fix_stage_g2.m,MATLAB_pure_script,tbl_path_reader_smoke_graphics,plots IO repair reader inputs
INV022,Aging/analysis/run_aging_reader_path_override_stage_g1.m,MATLAB_pure_script,tbl_reader_plus_env_proof_text,documents env bridging override contract
INV023,Aging/analysis/run_aging_reader_smoke_retry_g2b.m,MATLAB_pure_script,tbl_retry_reader_dataset_and_real_status,double reader smoke prerequisites
INV024,Aging/analysis/run_aging_reader_smoke_test_stage_f.m,MATLAB_pure_script,tbl_primary_reader_contract_plus_real_status,evidence binder for consolidated reader smoke prerequisites
INV025,Aging/analysis/run_aging_robustness_audit_stage_h.m,MATLAB_pure_script,tblDataset_for_tau_family_robustness,tau-chain robustness inventory ingest
INV026,Aging/analysis/run_aging_tau_chain_g3b.m,MATLAB_pure_script,tbl_path_then_env_setters_for_extractions,batch orchestrator wiring dip_FM writers with consolidated tables default
INV027,Aging/analysis/run_aging_trackA_FM_E_proxy_refinement_diagnostic.m,MATLAB_pure_script,tbl_trackB_FM_E_proxy_diag,FM_E refinement diagnostic ingest
INV028,Aging/analysis/run_aging_trackA_canonical_replay_parity.m,MATLAB_pure_script,tbl_trackA_replay_comparison_path,parity reader uses consolidation file
INV029,Aging/analysis/run_aging_trackA_tau_minimal_replay.m,MATLAB_pure_script,tbl_modify_flag_minimal,minimal deterministic tau replay scaffolding
INV030,Aging/analysis/run_aging_trackA_tau_phase2_selected_controls.m,MATLAB_pure_script,tbl_controls_subset,Tp_tw policy selected controls ingest
INV031,Aging/analysis/run_aging_trackA_tau_proxy_sanity_audit.m,MATLAB_pure_script,tbl_proxy_sanity,tau proxy sanity audit ingest
INV032,analysis/aging_dip_switching_shape_link.m,MATLAB_cross_module_helper,agingDatasetRunDir_dynamic_compose_path,Switching dip shape harness builds path from cfg struct not single constant
INV033,analysis/aging_fm_switching_sector_link.m,MATLAB_cross_module_helper,same_dynamic_path_compose_FM_sector,reads consolidation layout under configured run directories
INV034,run_aging_F3b_FM_signed_short_tw_rescue.m,Audit_root_script,sidecar_fragment_plus_consolidated_cross_refs,rescue forensic references observable dataset sidecars
INV035,run_aging_F6H_prefit_tau_shape_mismatch_audit.m,Audit_root_script,results_old_legacy_mirror_path_not_results_default,F6H uses archived mirrored tree for shape audit inputs
INV036,run_aging_F6I_controlled_tau_definition_test.m,Audit_root_script,same_legacy_results_old_mirror,F6I controlled matrices against archived observable snapshot
INV037,run_aging_F6J_replay_legacy_observables_on_current_pipeline.m,Audit_root_script,legacy_mirror_plus_CONTRACT_and_env_bridge_story,F6J documents consolidation identity-copy semantics bridging env
INV038,run_aging_F6K_dip_replay_gap_root_cause_audit.m,Audit_root_script,legacy_archive_pointer_plus_consolidation_git_diff_audit_text,F6K dip gap causal narrative references consolidation writer plus archived csv
INV039,run_aging_F6L_archived_lineage_parity_replay_repair.m,Audit_root_script,legacy_mirror_plus_env_reset_pattern,F6L parity repair toggles env for contract path
INV040,run_aging_F6M_archived_current_source_selection_bridge.m,Audit_root_script,legacy_mirror_plus_git_hash_diff_callouts,F6M bridge enumerates code drift between archive and current writers
INV041,docs/aging_canonicalization_roadmap.md,Repo_governance_markdown,embedded_paths_for_F7H_blocker_and_tables_branch_note,route control from F7H into F7I dataset availability topic
INV042,docs/aging_measurement_definition_freeze.md,Repo_stage_D_markdown,defines_five_column_contract_optional_sidecar_policy,freezes measurement semantics without claiming preexisting file as science SoT
INV043,analysis/aging_time_rescaling_collapse.ps1,PowerShell_util,Join-Path_results_legacy_run_folder,non-MATLAB automation mirrors historical default dataset join string
INV044,analysis/knowledge/run_registry.csv,Tracked_knowledge_table,registry_row_for_run_2026_03_12_211204_aging_dataset_build,records intended run root and primary table filename under results tree
INV045,tables/maintenance_root_folder_reference_check.csv,Tracked_maintenance_inventory,cells_reference_consolidation_and_reader_scripts,infra inventory rows citing consolidation reader filenames
INV046,claims/X_canonical_coordinate.json,JSON_claims_aux,legacy_run_identifier_string_claim,embeds canonical coordinate metadata citing historical dataset_build run naming
INV047,claims/X_pareto_nondominated.json,JSON_claims_aux,same_legacy_run_identifier,ditto_secondary_claims_file
