existing_name,name_type,appears_in,source_field_or_artifact,component_role,current_meaning,decomposition_known,tau_known,sign_policy_known,why_name_is_or_is_not_clear,ambiguity_risk,notes
AFM_area,field_name,direct decomposition pauseRuns,Integral style dip area metric direct path,AFM_area,"Direct window dip area distinct from Gaussian Dip_area_fit",YES,NO,N/A,"Area vs amp naming helps but vs Dip_area_fit collision",MEDIUM,"stage4 sets Dip_area_direct from AFM_area when finite"
Dip_area,field_name,pauseRuns legacy compatibility,May mirror Dip_area_direct or NaN,AFM_area_bucket,"Legacy bucket field unified in orchestrator comments",PARTIAL,NO,N/A,"Ambiguous which branch populated without run audit",MEDIUM,"stage4_analyzeAFM_FM diagnostic block"
Dip_area_selected,field_name,stage5 selection into pauseRuns,Gaussian dip fit selection pathway,AFM_fit_area,"Chosen fit dip area feeding stage6 AFM_like",YES,NO,N/A,"Selected tag helps but still fit not residual depth",MEDIUM,"Track A input"
FM_abs,field_name,pauseRuns export consolidation,abs FM_signed when finite,FM_magnitude,"Magnitude only FM column in five-column tau FM reader input",YES,NO,YES,"Abs in name clear sign reversal not representable",LOW,"aging_fm_timescale_analysis reads FM_abs only"
FM_signed,field_name,pauseRuns stage4,Plateau signed step FM,FM_signed_physics,"Signed FM step preferred from FM_step_raw",YES,NO,YES,"Clear signed role not in five-column contract",MEDIUM,"FM_abs derived from this"
FM_step_raw,field_name,direct analyzer,Plateau differencing raw signed step,FM_plateau,"Preferred source for FM_signed before magnitude",YES,NO,YES,"Raw suffix clear signed plateau notion",LOW,"Header in analyzeAFM_FM_components"
FM_step_mag,field_name,pauseRuns wide export,Misleading mag label may equal signed raw,FM_plateau_storage,"Often signed plateau duplicate per freeze not magnitude-only",YES,NO,MISLEADING_NAME,"Name suggests abs only freeze says signed in direct path",HIGH,"Stripped from observables.csv narrow export"
FM_E,field_name,stage5 tanh fit output,FM_E window RMS style metric,FM_fit_energy,"Tanh step fit derived scalar feeding FM_like",YES,NO,N/A,"E suggests energy window not FM_abs plateau",MEDIUM,"stage5_fitFMGaussian path"
tau_vs_Tp,artifact_file,tau extraction output,aging_timescale_extraction save_run_table,tau_dip_table,"CSV of per-Tp dip tau estimates multiple columns",NO,YES,N/A,"File name clear dip axis unclear which fit column is primary",MEDIUM,"F7G semantic_status warns legacy tau_effective_seconds"
tau_FM_vs_Tp,artifact_file,FM tau extraction output,aging_fm_timescale_analysis save_run_table,tau_fm_table,"CSV of per-Tp FM tau estimates on FM_abs curves",NO,YES,N/A,"Clear FM domain still curvefit family not in filename",MEDIUM,"F7R2 hardened columns"
tau_effective_seconds,column_name,tau_vs_Tp tau_FM_vs_Tp legacy column,multi fit outputs,tau_summary_alias,"Legacy alias column paired with metadata disambiguation per F7G",NO,YES,N/A,"Ambiguous without metadata which domain DIP vs FM",HIGH,"appendF7GTauRMetadataColumns in both writers"
R_age,column_name,clock ratio outputs,table_clock_ratio merged outputs,ratio_scalar,"tau_FM over tau_dip style ratio not a decomposition field",NO,YES,N/A,"Name clear ratio role hides which tau columns paired",MEDIUM,"aging_clock_ratio_analysis R_age construction"
