path_or_object,object_type,tracked_status,ignored_status,semantic_family_id,recommended_alias,namespace_id,parent_namespace,claim_level,manuscript_safe,replay_safe,canonical_safe,source_inputs,output_objects,allowed_use,forbidden_use,required_namespace_fields,required_lineage_fields,evidence_paths,confidence,notes
Switching/analysis/run_switching_corrected_old_authoritative_builder.m,matlab_script,TRACKED,NO,CORRECTED_OLD_AUTH_BUILDER,Gated_PT_Backbone_Builder,CORRECTED_CANONICAL_OLD_ANALYSIS,CORRECTED_CANONICAL_OLD_ANALYSIS,AUTHORITATIVE_WHEN_BUILDER_SAFE,CONDITIONAL,NO,NO,source_view PT_matrix gates,switching_corrected_old_authoritative_*.csv,Rebuild authoritative package when SAFE,Run before gates or mix PT columns into inputs,namespace_id CORRECTED_CANONICAL_OLD_ANALYSIS,builder_status; artifact index,switching_semantic_taxonomy.csv,HIGH,
Switching/analysis/switching_residual_decomposition_analysis.m,matlab_function,TRACKED,NO,OLD_RESIDUAL_DECOMP,Legacy_ThresholdCentered_Decomp,OLD_RESIDUAL_DECOMP,LEGACY_OLD_TEMPLATE,LEGACY_DECOMP_TEMPLATE,NO,NO,NO,alignment_core MAT scaling PT optional,legacy phi_shape kappa decomposition outputs,Legacy reproduction labeled OLD_RESIDUAL_DECOMP,Bare canonical Phi kappa authority claims,namespace_id OLD_RESIDUAL_DECOMP; backbone_object formula,legacy run ids,switching_semantic_taxonomy.csv,HIGH,
Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m,matlab_script,TRACKED,NO,PHI2_KAPPA2_HYBRID,LegacyResidual_SecondMode_Hybrid,PHI2_KAPPA2_HYBRID_LEGACY_FIRST_STAGE,DIAGNOSTIC_FORENSIC,INTERNAL_DIAGNOSTIC,NO,NO,NO,stage-one legacy outputs,phi2_kappa2 tables reports,MISLEADING_NAME diagnostics,Manuscript canonical decomposition authority,first_stage OLD_RESIDUAL_DECOMP linkage,legacy run ids,switching_pre_replay_registry_contract.csv REG004,HIGH,Filename canonical misleading per synthesis.
Switching/analysis/run_switching_phi1_kappa1_experimental_replay.m,matlab_script,TRACKED,NO,REPLAY_PHI1_KAPPA1,FrozenSLong_Experimental_PhiKappa_Replay,REPLAY_PHI1_KAPPA1,REPLAY,DIAGNOSTIC_REPLAY,NO,NO,NO,frozen S_long observables,replay run outputs,B03 diagnostic on frozen tables,Redefine authoritative corrected-old Phi1,namespace_id REPLAY_PHI1_KAPPA1,frozen run_id,switching_semantic_taxonomy.csv,MEDIUM,
Switching/analysis/run_switching_geocanon_descriptor_audit.m,matlab_script,TRACKED,NO,GEOCANON_DESCRIPTOR,RidgeGeometry_Descriptor_Audit,DIAGNOSTIC_FORENSIC,DIAGNOSTIC_FORENSIC,DIAGNOSTIC_DESCRIPTOR_B12,NO,NO,NO,S_long optional observables,geocanon descriptor CSVs,B12 atlas inventories,Residual backbone equivalence without audit,descriptor_scope; audit_class,script fingerprint,switching_semantic_taxonomy.csv,HIGH,
run_switching_fixed_T_current_cuts_canonical_replay.m,matlab_script,UNTRACKED_IN_SNAPSHOT,COMMON_IGNORE,CANON_S_LONG_VISUAL_REPLAY,PinnedRun_SLong_Visualization_Only,CAN_FIGURE_REPLAY,CANON_FIGURE_REPLAY,VISUALIZATION_ONLY,NO,YES,NO,pinned switching_canonical_S_long.csv,cuts PNG FIG manifest,Visualization parity from frozen input,Claim new measured S derivation,CANON_FIGURE_REPLAY; source_run_id,pinned run_id,switching_semantic_taxonomy.csv,MEDIUM,Untracked optional in workspace snapshot.
scripts/run_switching_old_fig_forensic_and_canonical_replot.m,matlab_script,UNTRACKED_IN_SNAPSHOT,COMMON_IGNORE,OLD_FIG_FORENSIC_REPLAY,LegacyFig_Forensic_And_StyledReplot,DIAGNOSTIC_FORENSIC,OLD_FIG_FORENSIC,FORENSIC_PLUS_STYLE,NO,YES,NO,legacy fig P0 pinned S_long,forensic CSV styled canonical exports,Forensic diagnostics,MSS corrected-old without builder tables,replay_run_label; diagnostic forensic,legacy paths,switching_semantic_taxonomy.csv,MEDIUM,
scripts/run_switching_stabilized_gauge_figure_replay.m,matlab_script,UNTRACKED_IN_SNAPSHOT,COMMON_IGNORE,GAUGE_VISUALIZATION_DIAGNOSTIC,Gauge_XEff_Panels_Robustness,CAN_FIGURE_REPLAY,CAN_FIGURE_REPLAY,GAUGE_DIAGNOSTIC,NO,YES,NO,gauge stability values S_long,gauge panels PNG FIG,X_eff gauge reproduction,X_canon publication claim,X_EFF_GAUGE_SPECIFIC_ONLY,fingerprint script,switching_pre_replay_registry_contract.csv REG007,HIGH,
scripts/run_sw_corr_old_replay_auth.m,matlab_script,UNTRACKED_IN_SNAPSHOT,COMMON_IGNORE,CORRECTED_OLD_REPLAY_FROM_CANON_S_INPUT,CenteredCDF_Replay_FromCanonS_Quarantine,QUARANTINED_REPLAY,CORRECTED_CANONICAL_OLD_ANALYSIS,QUARANTINED_REPLAY,NO,NO,NO,S_long observables P0,corrected_old_shaped replay CSVs,Forensic compare vs builder record,Manuscript authority without builder_status,QUARANTINED_MISLEADING,replay script id,switching_semantic_taxonomy.csv,HIGH,
scripts/run_switching_corrected_old_replay_inventory_and_phi1_visual_sanity.m,matlab_script,UNTRACKED_IN_SNAPSHOT,COMMON_IGNORE,PTCDF_DIAGNOSTIC_QUARANTINE_REPLAY,PTCDF_Inventory_PhiSanity_Scripts,EXPERIMENTAL_PTCDF_DIAGNOSTIC,EXPERIMENTAL_PTCDF_DIAGNOSTIC,QUARANTINE_DIAGNOSTIC,NO,NO,NO,S_long observables P0,diagnostic_ptcdf PNG CSV md,Quarantine inventory demos,Equate to authoritative_phi1,QUARANTINED headers,templates,switching_semantic_taxonomy.csv,HIGH,
Switching/diagnostics/run_switching_cdf_backbone_repair_aggressiveness_audit.m,matlab_function,UNTRACKED_IN_SNAPSHOT,COMMON_IGNORE,CDF_BACKBONE_REPAIR_AGGRESSIVENESS_AUDIT,CDFRepair_Variant_Audit_OldResidualPath,DIAGNOSTIC_FORENSIC,DIAGNOSTIC_FORENSIC,AUDIT_ONLY,NO,NO,NO,alignment MAT scaling PT,switching_cdf_backbone_repair CSVs,Understand OLD residual repair variants,Treat as PT manuscript backbone authority,audit_scope static refs,switching_residual_decomposition_analysis,switching_semantic_taxonomy.csv,HIGH,
Switching/analysis/run_minimal_canonical.m,matlab_script,TRACKED,NO,INFRA_SMOKE_CANONICAL_CONTEXT,RunContext_or_Test_Wrapper_Smoke,INFRA_TEST,INFRA_TEST,INFRA,NO,YES,NO,repo utils,minimal CSV md smoke,Credential infra smoke,Cite as physics canonical evidence,INFRA_TEST NOT CANON_GEN_SOURCE,wrapper id,switching_semantic_taxonomy.csv,HIGH,Grep false positive risk by filename.
tables/switching_analysis_classification_status.csv,governance_table,COMMITTED_IGNORE_PATTERN,YES,CLASSIFICATION_OR_GOVERNANCE_STATUS,StaleRows_Matrix_Separation_Meta,deprecated_stale_status_rows,historical_governance,META_GOVERNANCE,NO,N/A,N/A,prior audits,status_key rows,Historical audit plus CURRENT pointers,Stale NO as present truth without supersession,SUPERSESSION_NOTE handling,read stale supersession report first,switching_stale_governance_supersession.md,HIGH,CURRENT_* rows supersede stale existence NO keys.
Switching/analysis/run_switching_canonical_map_backbone_residual_visualization.m,matlab_script,TRACKED,NO,CANON_FIGURE_COLUMN_REPLAY,SLong_Column_BackboneResidual_Viz,CAN_FIGURE_REPLAY,CAN_FIGURE_REPLAY,FIGURE_DIAGNOSTIC,NO,YES,NO,resolved S_long,figures readiness tables,Dual-namespace diagnostic figures,CORRECTED authority from filename alone,CANON_FIGURE_REPLAY captions,run_id resolved,switching_semantic_taxonomy.csv,MEDIUM,
Switching/analysis/run_switching_canonical_ptcdf_collapse_overlay.m,matlab_script,TRACKED,NO,CANON_COLLAPSE_PTCDF_OVERLAY_DIAGNOSTIC,CollapseOverlay_PTCDFFigures,DIAGNOSTIC_OVERLAY,EXPERIMENTAL_PTCDF_DIAGNOSTIC,OVERLAY_DIAGNOSTIC,NO,NO,NO,S_long phi mode tables,overlay figures run-scoped,Supplementary EXPERIMENTAL overlays,Primary standalone PT construction claim,DIAGNOSTIC_OVERLAY; EXPERIMENTAL,run_id gates,switching_semantic_taxonomy.csv,MEDIUM,
Switching/diagnostics/run_switching_corrected_old_task002_quality_QA_and_closure.m,matlab_script,TRACKED,NO,CORRECTED_OLD_TASK_QA_DIAGNOSTIC,Task002_QA_Closure_Visual_Only,TASK_002A_QA,CORRECTED_CANONICAL_OLD_ANALYSIS,QA_DIAGNOSTIC,NO,NO,NO,authoritative corrected-old CSVs,QA PNG metrics,Closure identities on authoritative maps,Publication substitute,TASK_002A NOT_MAIN_MANUSCRIPT,authoritative paths hashed,switching_semantic_taxonomy.csv,HIGH,
Switching/diagnostics/run_switching_corrected_old_task002_visual_QA_refinement.m,matlab_script,TRACKED,NO,CORRECTED_OLD_TASK_QA_DIAGNOSTIC,Task002_QA_Closure_Visual_Only,TASK_002A_VISUAL,CORRECTED_CANONICAL_OLD_ANALYSIS,QA_DIAGNOSTIC,NO,NO,NO,authoritative maps source_view slice,refined QA PNGs,Visual QA refinement,TASK_002B parity without gate,TASK labels publication unauthorized header,switching_semantic_taxonomy.csv,HIGH,
Switching/analysis/run_switching_rank3_physical_classification_audit.m,matlab_script,TRACKED,NO,RANK3_STAGE_CHAIN_CLASSIFICATION_AUDIT,Rank3_Classification_OnLockedRun,DIAGNOSTIC_FORENSIC,DIAGNOSTIC_FORENSIC,AUDIT_CLASSIFICATION,NO,NO,NO,D4 E E5 locked canonical run tables,audit outputs gated,Bypass embargo unauthorized,new decomposition claims without gates,canonicalRunId locked run not umbrella,stage flags,switching_semantic_taxonomy.csv,MEDIUM,
Switching/analysis/analyze_phi_kappa_canonical_space.m,matlab_script,TRACKED,NO,PHI_KAPPA_STABILITY_CANONICAL_SUBSET,PhiKappa_Stability_CanonicalVariant_Pairs,canonical_pair_filter,DIAGNOSTIC_FORENSIC,STABILITY_SUBSET_FILTER,NO,NO,NO,phi_kappa_stability_summary.csv,filtered stability outputs,Narrow stability allowed pairs,Global phi kappa producer claim,canonical_pair_space definition,upstream stability run_id,switching_semantic_taxonomy.csv,MEDIUM,
REG001_switching_canonical_S_long_mixed_table,registry_seed_row,N_A,N_A,CANON_GEN_MIXED_PRODUCER,CanonGen_Mixed_Output_Entrypoint,MANIFEST_SPLIT_CANON_GEN_SOURCE_AND_EXPERIMENTAL,CANON_GEN,AUTHORITATIVE_FOR_S_PERCENT_COLUMN_ONLY,CONDITIONAL,NO,NO,see registry CSV,mixed_table per run,split reads per REG001,Undifferentiated backbone bundle for CORRECTED,run_id plus column_namespace,REG001 lineage,switching_pre_replay_registry_contract.csv REG001,HIGH,Machine bridge from Phase 1 registry seed to taxonomy.
REG002_switching_corrected_old_authoritative_phi1,registry_seed_row,N_A,N_A,CORRECTED_CANONICAL_OLD_ANALYSIS,Narrative_Manuscript_Old_Analysis_Package,CORRECTED_CANONICAL_OLD_ANALYSIS,CORRECTED_CANONICAL_OLD_ANALYSIS,MANUSCRIPT_UNDER_B09_WHEN_GATED,YES,NO,NO,builder,authoritative phi1 table,Cited manuscript Phi1,Equate CANON_GEN phi1 diagnostic,builder_status plus index,REG002 lineage,switching_pre_replay_registry_contract.csv REG002,HIGH,
REG003_switching_canonical_phi1_diagnostic,registry_seed_row,N_A,N_A,CANON_GEN_MIXED_PRODUCER,CanonGen_Mixed_Output_Entrypoint,EXPERIMENTAL_DIAGNOSTIC_FROM_CANON_GEN,CANON_GEN,NATIVE_I_DECOMPOSITION_DIAGNOSTIC,NO,NO,NO,mixed producer,switching_canonical_phi1.csv,internal audits parity,CORRECTED Phi1 authority,run_id mixed producer header,REG003 lineage,switching_pre_replay_registry_contract.csv REG003,HIGH,
REG004_phi2_kappa2_outputs,registry_seed_row,N_A,N_A,PHI2_KAPPA2_HYBRID,LegacyResidual_SecondMode_Hybrid,PHI2_KAPPA2_HYBRID_LEGACY_FIRST_STAGE,DIAGNOSTIC_FORENSIC,MISLEADING_NAME_FIRST_STAGE_OLD_RESIDUAL,NO,NO,NO,legacy chain,phi2 tables,MISLEADING diagnostics revalidated,Manuscript canonical decomposition,stage1 OLD_RESIDUAL_DECOMP,REG004 lineage,switching_pre_replay_registry_contract.csv REG004,HIGH,
REG005_geocanon_descriptor_outputs,registry_seed_row,N_A,N_A,GEOCANON_DESCRIPTOR,RidgeGeometry_Descriptor_Audit,DIAGNOSTIC_FORENSIC,DIAGNOSTIC_FORENSIC,DIAGNOSTIC_B12,NO,NO,NO,geocanon scripts,descriptor outputs,B12 inventory,Backbone equivalence,descriptor_scope,REG005 lineage,switching_pre_replay_registry_contract.csv REG005,MEDIUM,
REG006_legacy_PT_matrix,registry_seed_row,N_A,N_A,OLD_RESIDUAL_DECOMP,Legacy_ThresholdCentered_Decomp,OLD_BARRIER_PT,LEGACY_OLD_TEMPLATE,LEGACY,NO,NO,NO,results_old paths,PT_matrix.csv,legacy provenance comparisons,silent substitution CANON_GEN PT_pdf,run path provenance,REG006 lineage,switching_pre_replay_registry_contract.csv REG006,HIGH,
REG007_stabilized_gauge_figure_replay_status,registry_seed_row,N_A,N_A,GAUGE_VISUALIZATION_DIAGNOSTIC,Gauge_XEff_Panels_Robustness,CAN_FIGURE_REPLAY,CAN_FIGURE_REPLAY,FIGURE_ONLY_B05,NO,YES,NO,locked inputs,status CSV,figure reproduction gauge,X_canon claim,X_EFF_GAUGE_SPECIFIC verdict keys,REG007 lineage,switching_pre_replay_registry_contract.csv REG007,HIGH,
docs/switching_analysis_map.md,documentation,TRACKED,NO,CLASSIFICATION_OR_GOVERNANCE_STATUS,N_A,NARRATIVE_ANCHOR,N_A,META_GUIDANCE,N_A,N/A,N/A,N/A,N/A,Glossary formal labels,Bare grep without column discipline,CANON_GEN_SOURCE vs EXPERIMENTAL,n/a,switching_analysis_map.md,HIGH,Authoritative prose anchor not registry row substitute.
tables/switching_semantic_taxonomy.csv,materialization_table,UNTRACKED_UNTIL_FORCE_ADD,YES_BY_DEFAULT_IGNORE,taxonomy_container,N_A,N_A,N_A,META,N/A,N/A,N/A,Phase 1.5D synthesis,family definitions,governance reference,N/A,N/A,N/A,switching_semantic_taxonomy.csv,HIGH,Committed inputs per user HEAD 19397d1 anchor expectation.
