stage,checklist_id,checklist_item,legacy_parity_item,canonical_input_required,gated_input_required,width_or_alignment_risk,carry_forward_decision,notes
5,5.4,Document sensitivity of Phi1 sign convention if sidecar emission ever adds canonical_visualization context,infrastructure_phi1_sign_contract,switching_canonical_S_long.csv.meta.json valid_contexts,PARTIAL,LOW,optional,Metadata evolution separate from this checklist
6,6.1,Assemble 6-12 panel figure bundle with caption provenance table,paper_figure_spine_legacy_createPlotsSwitching_family,outputs Stages 1-3 + hierarchy CSVs,YES,LOW,needs_redesign,PAPER_READY still NO until bundle exists
6,6.2,Style pass on existing fig without changing data legacy figure_repair,switching_full_scaling_collapse_figure_repair.m,N_A archived fig only,NO,LOW,optional,Presentation-only per visualization plan
6,6.3,Index markdown listing every panel source path and gate PASS row,paper_index_spine,N_A,YES,LOW,carry_forward_canonical,Stage 6 deliverable
LCE,LCE.1,Width-free RMSE backbone Phi1 Phi2 stack quantitative,collapse_hierarchy_legacy_planned_H1_H3,switching_canonical_collapse_hierarchy_error_vs_T.csv + gate inputs,YES,LOW,carry_forward_canonical,REPLACED by canonical hierarchy per legacy gap audit
LCE,LCE.2,Shift-scale width-parameterized collapse metrics,legacy_switching_full_scaling_collapse_energy_scale_filtered,policy exclude switching_scaling_canonical_test.csv and width-parameter runs,NO,HIGH,exclude_width_based,INVALIDATED not canonical truth per hierarchy plan C8
LCE,LCE.3,Subrange filtered collapse degradation tables,legacy_run_switching_collapse_subrange_analysis,tables/switching_collapse_subrange_degradation.csv legacy read-only,NO,MEDIUM,carry_forward_as_diagnostic_only,Not replaced by hierarchy; legacy_compare only do not promote
LCE,LCE.4,Alignment-manifest reconstruction verification plots,legacy_switching_residual_collapse_verification_analysis,switching_collapse_verification.csv legacy path,N_A,MEDIUM,carry_forward_as_diagnostic_only,MISSING canonical gated equivalent per gap audit
LCE,LCE.5,Rank dominance narrative from global and by-regime tables,collapse_rank_connection_legacy,switching_residual_global_rank_structure.csv switching_residual_rank_structure_by_regime.csv,YES,LOW,carry_forward_canonical,Quantitative row in hierarchy; add bar-chart viz for paper
VERDICT,EXPANDED_PLAN_DEFINED,YES,N_A,N_A,N_A,N_A,N_A,expanded_table_and_report_written
VERDICT,STAGE1_VISUALIZATION_RECOGNIZED,YES,N_A,N_A,N_A,N_A,N_A,run_switching_canonical_map_visualization.m
VERDICT,LEGACY_PARITY_CHECKLIST_COMPLETE,YES,N_A,N_A,N_A,N_A,N_A,document_complete_not_all_parity_items_executed
VERDICT,CRITICAL_UNMAPPED_LEGACY_ITEMS_REMAIN,YES,N_A,N_A,N_A,N_A,N_A,windowed_reconstruction_phi2_export_multi_channel_collapse
VERDICT,WIDTH_ALIGNMENT_RISKS_CLASSIFIED,YES,N_A,N_A,N_A,N_A,N_A,column_width_or_alignment_risk_populated
VERDICT,NEXT_THREE_TASKS_DEFINED,YES,N_A,N_A,N_A,N_A,N_A,see_report_section_next_three_minimal_tasks
VERDICT,READY_TO_IMPLEMENT_STAGE2,YES,N_A,N_A,N_A,N_A,N_A,gated_reconstruction_visualization_spine
