analysis_name,HAS_CANONICAL_RUN,CANONICAL_OUTPUT_EXISTS,FULLY_CANONICAL,notes
run_kappa2_kww_shape_test,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_kappa2_opening_test,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
run_kappa2_operational_signature_test,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_kappa2_physical_necessity,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
run_minimal_canonical,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
run_parameter_robustness_switching_canonical,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
run_phi_asymmetry_link,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_phi_even_deformation_test,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_phi_physical_identification,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_phi_physical_structure_test,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_phi_pt_independence_test,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_phi_pt_restricted_deformation,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
run_phi_pt_restricted_deformation_5_1,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
run_phi_pt_restricted_deformation_stable,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
run_phi_temperature_derivative_test,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_phi1_observable_phi2_driver_test,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_phi1_phi2_observable_closure_fixed,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
run_phi1_phi2_observable_closure_test,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
run_phi2_deformation_structure_test,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_phi2_extended_deformation_basis_test,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_phi2_kappa2_canonical_residual_mode,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_phi2_second_order_deformation_test,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_phi2_shape_physics_test,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_prediction_falsification_test,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_pt_deformation_mode_test,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_pt_energy_extraction_robustness_audit,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_PT_kappa_relaxation_mapping,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_PT_to_relaxation_mapping,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_pt_width_spread_observable_analysis,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
run_relaxation_deep_search,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_relaxation_extraction_from_known_runs,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_relaxation_outlier_audit,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_relaxation_outlier_audit_no_toolbox,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_residual_decomposition_22k_failure_audit,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_residual_rank2_audit,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
run_residual_sector_robustness,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_residual_temperature_structure_test,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_switching_canonical,YES,YES,YES,
run_switching_peak_jump_audit,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_tail_ablation_test,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
run_trajectory_geometry_aging_test,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
run_validate_relaxation_dataset,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_width_decomposition_test,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
run_width_interaction_closure_test,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
run_width_interaction_closure_test_v2,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
sanitizeMD,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
spearmanCorrelation,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
switching_a1_vs_curvature_test,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_alignment_audit,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_dynamic_shape_geometry_match_analysis,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_dynamic_shape_mode_analysis,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_effective_observables,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_energy_mapping_analysis,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_energy_scale_collapse_filtered,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_full_scaling_collapse,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_full_scaling_collapse_figure_repair,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_geometry_diagnostics,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_mechanism_followup,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_mechanism_survey,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_mode23_analysis,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_observable_basis_test,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_observable_stability_survey,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_residual_collapse_verification_analysis,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_residual_decomposition_analysis,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_ridge_curvature_analysis,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_ridge_susceptibility_analysis,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_ridge_susceptibility_test,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_second_coordinate_duel,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_second_structural_observable_search,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_shape_rank_analysis,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_translation_mode_test,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
switching_XI_Xshape_analysis,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
tiedRankLocal,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
toDoubleColumn,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
yesno,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
