component_id,component_name,actually_used,reachable_only,technical_role,scientific_role,part_of_canonical_definition,legacy_harmless,noncanonical_risk,confidence,decisive_classification,notes
C13,processFilesSwitching,YES,NO,waveform to tables,"defines P2P_percent channel metrics before grid",YES,YES,NO,HIGH,LEGACY_HARMLESS,"Legacy engine; canonical run depends on its outputs"
C14,analyzeSwitchingStability,YES,NO,channel selection 1-4,"selects which ch table supplies Svec",YES,YES,NO,HIGH,LEGACY_HARMLESS,""
C15,extract_dep_type_from_folder extractPulseSchemeFromFolder extract_delay_between_pulses_from_name,YES,NO,folder metadata for processing params,pulse timing influences processing,YES,YES,NO,HIGH,LEGACY_HARMLESS,""
C16,resolveNegP2P (optional),IF_PRESENT,NO,conditional sign flip,Svec sign,YES,YES,NO,MEDIUM,LEGACY_HARMLESS,"Used only if function on path"
C17,resolve_preset select_preset (optional),IF_PRESENT,NO,preset lookup,normalize_to,YES,YES,YES,MEDIUM,LEGACY_HARMLESS,"General ver2; optional scientific nudge"
C18,Grid Smap Speak Ipeak Scdf PTmap CDFmap residual (in-script),YES,NO,numerical assembly,defines canonical S and PT decomposition in repo,YES,NO,NO,HIGH,CANONICAL,"Scientific canonical core math in analysis script"
C19,SVD phi1 kappa1 Sfull (in-script),YES,NO,rank-1 residual model,"secondary canonical observables",YES,NO,NO,HIGH,CANONICAL,""
C20,CHECK_NO_PRECOMPUTED_INPUTS heuristic (in-script),YES,NO,validation flag for provenance row,none on Smap directly,YES,NO,YES,MEDIUM,NONCANONICAL_RISK,"Heuristic can misfire on odd paths; metadata not S"
C21,CANONICAL_PIPELINE_CONFIRMED gate (in-script),YES,NO,summary flag,descriptive thresholds RMSE cosine Spearman,YES,NO,YES,MEDIUM,NONCANONICAL_RISK,"Quality banner not independent physics validation"
C22,results/Switching/runs/<run_id>/ artifact tree,YES,NO,persistence and provenance layout,hosts canonical CSV outputs,YES,NO,NO,HIGH,CANONICAL,""
C23,execution_status.csv execution_probe.csv execution_probe_status.csv (run_dir),YES,NO,execution contract artifacts,none,YES,NO,NO,HIGH,CANONICAL,""
C24,switching_canonical_S_long.csv observables phi1 validation implementation_status (run_dir/tables),YES,NO,serialized canonical outputs,"S PT Sfull residual phi kappa diagnostics",YES,NO,NO,HIGH,CANONICAL,""
C25,run_switching_canonical_report.md implementation.md (run_dir/reports),YES,NO,human-readable run summary,documents S_SOURCE and flags,YES,NO,NO,HIGH,CANONICAL,""
C26,run_manifest.json run_status.csv log.txt config_snapshot.m,YES,NO,infra fingerprints,none,YES,NO,NO,HIGH,CANONICAL,"createRunContext / run logging"
C27,execution_probe_top.txt (repo root C:),YES,NO,early fopen probe,none,NO,NO,NO,HIGH,CANONICAL,"Side-effect file; not Switching science"
C28,MATLAB userpath / startup path (Matlab functions path added),OBSERVED,YES,environment path order,name shadow warnings e.g. load,NO,YES,NO,MEDIUM,LEGACY_HARMLESS,"Not declared by script; environmental only"
C29,Repo-root tables/*.csv (not loaded),NO,YES,n/a,n/a,NO,YES,NO,HIGH,NOT_USED,"Excluded from S when CHECK_NO_PRECOMPUTED_INPUTS=YES; exist in repo but not inputs to this run"
C30,Switching ver12 (aggregate: code+helpers used by canonical run),YES,NO,"mandatory legacy .m resolution for ingest","supplies P2P_percent semantics and folder metadata before canonical grid",YES,YES,NO,HIGH,CANONICAL_SUBSTRATE,"Approved legacy execution engine coupled to canonical definition; replaceable only with explicit spec change; not NONCANONICAL_RISK by itself—see C09 for path risk"
