semantic_family_id,recommended_alias,plain_english_meaning,parent_namespace,source_inputs,output_objects,allowed_use,forbidden_use,claim_level,manuscript_safe,replay_safe,canonical_safe,required_namespace_fields,required_lineage_fields,evidence_paths,notes
OLD_FIG_FORENSIC_REPLAY,LegacyFig_Forensic_And_StyledReplot,"Extract legacy .fig metadata provenance scan replot X collapse panels using locked P0 and pinned S_long.",OLD_FIG_FORENSIC / CANON_FIGURE_REPLAY,"Legacy fig files; P0 tables; pinned S_long","Forensic CSVs; switching_canonical_* styled exports under canonical dir","Side-by-side diagnostics with explicit legacy vs canonical run ids in captions","Treat replot PNG as authoritative corrected-old without builder tables",FORENSIC_PLUS_STYLE,NO,YES,NO,"DIAGNOSTIC_FORENSIC; replay_run_label","legacy fig paths; canonical run id used for numerics","scripts/run_switching_old_fig_forensic_and_canonical_replot.m","Output paths use canonical naming for style not producer authority."
GAUGE_VISUALIZATION_DIAGNOSTIC,Gauge_XEff_Panels_Robustness,"X_eff gauge-specific decomposition visuals atlas previews robustness summaries—not manuscript coordinate canon.",DIAGNOSTIC_FORENSIC,"Gauge stability atlas CSVs S_long for replay variants","Diagnostics figures tables under figures/switching/diagnostics often","Gauge governance previews robustness checks","X_canon publication claims; merge with CORRECTED Phi authority",GAUGE_DIAGNOSTIC,NO,YES,NO,"X_EFF_GAUGE_SPECIFIC_ONLY verdict pattern; gauge ids","input gauge CSV lineage","scripts/run_switching_gauge_*.m; scripts/run_switching_stabilized_gauge_*.m; Phase 1.5C","Forbidden alias X_canon per artifact policy."
OLD_X_REPLAY_OR_ROBUSTNESS,OldX_and_Collapse_Replay_Metrics,"Functional replay audits collapse apples-to-apples PS1 old-X Spearman metrics normalized-X robustness—not unattended broad old-analysis port.",REPLAY_DIAGNOSTIC / AUDIT,"Canonical S_long observables; collapse replay tables","Audit CSVs reports metrics diagnostics","Narrow recovery audits with locked inputs","Blind promotion of old pipelines without Phase 2 registry",AUDIT_AND_REPLAY_METRICS,NO,CONDITIONAL,NO,"replay family tag; Switching-only scope headers","locked CanonicalRunId where applicable","scripts/run_switching_oldX_functional_replay_audit.ps1; PS1 old collapse scripts; Phase 1.5C","Broad unattended old-analysis replay remains NO-GO per pre-replay Phase 1."
CDF_BACKBONE_REPAIR_AGGRESSIVENESS_AUDIT,CDFRepair_Variant_Audit_OldResidualPath,"Audit compares CDF-like backbone repair aggressiveness used inside legacy residual decomposition pathways.",DIAGNOSTIC_FORENSIC,"alignment_core MAT; scaling params; PT_matrix audit paths","switching_cdf_backbone_repair_* CSVs markdown","Understand repair sensitivity for OLD residual template","Treat audit as PT/CDF manuscript backbone authority",AUDIT_ONLY,NO,NO,NO,"audit_scope; references switching_residual_decomposition_analysis static refs","source run ids in cfg defaults","Switching/diagnostics/run_switching_cdf_backbone_repair_aggressiveness_audit.m","References CORRECTED_CANONICAL_OLD_ANALYSIS regime label in comments—means legacy pathway context not claim transfer."
INFRA_SMOKE_CANONICAL_CONTEXT,RunContext_or_Test_Wrapper_Smoke,"createSwitchingRunContext smoke or forbidden-direct wrappers calling tests—not physics canonical generator.",INFRA_TEST,"Repo utils only or genpath to tests","minimal_data.csv minimal_report execution_status","CI smoke minimal writes infrastructure validation","Cite as measured S or backbone science evidence",INFRA,NO,YES,NO,"INFRA_TEST NOT CANON_GEN_SOURCE in headers","wrapper script id","Switching/analysis/run_minimal_canonical.m; run_switching_*_wrapper.m","Minimal canonical filename is highest grep false positive."
CLASSIFICATION_OR_GOVERNANCE_STATUS,StaleRows_Matrix_Separation_Meta,"Classification CSV status keys adoption matrices output separation supersession CURRENT_* interpretation—not physics.",historical_governance / meta,"Prior audit snapshots classification CSVs","SUPERSESSION_NOTE rows governance tables reports","Historical audit trail plus CURRENT truth pointers","Existence claims from stale NO rows alone without supersession",META_GOVERNANCE,NO,N/A,N/A,"deprecated_stale_status_rows handling","read switching_stale_governance_supersession first","tables/switching_analysis_classification_status.csv; reports/switching_stale_governance_supersession.md","AUTHORITATIVE_CORRECTED_OLD_ARTIFACTS_EXIST=NO superseded by CURRENT_* YES row."
CANON_FIGURE_COLUMN_REPLAY,SLong_Column_BackboneResidual_Viz,"Reads switching_canonical_S_long columns to plot backbone residual without rebuilding physics; dual-namespace captions.",CANON_FIGURE_REPLAY,"Resolved latest S_long per script","Figures tables readiness flags","Diagnostic figures with column semantics labeled","Imply CORRECTED_CANONICAL_OLD_ANALYSIS authority from filename",FIGURE_DIAGNOSTIC,NO,YES,NO,"CANON_FIGURE_REPLAY; per-column namespace in caption","run_id resolved","Switching/analysis/run_switching_canonical_map_backbone_residual_visualization.m","High collision name backbone plus canonical."
CANON_COLLAPSE_PTCDF_OVERLAY_DIAGNOSTIC,CollapseOverlay_PTCDFFigures,"Overlay collapse diagnostics using CANON_GEN S_long PT CDF phi support files gated overlays.",EXPERIMENTAL_PTCDF_DIAGNOSTIC / CANON_COLLAPSE_FAMILY,"S_long phi1 mode amplitudes","Overlay figures tables run-scoped","Supplementary overlay figures EXPERIMENTAL labeled","Independent PT construction primary backbone claim",OVERLAY_DIAGNOSTIC,NO,NO,NO,"DIAGNOSTIC_OVERLAY; EXPERIMENTAL_PTCDF_DIAGNOSTIC","run_id gate rows","Switching/analysis/run_switching_canonical_ptcdf_collapse_overlay.m","Collapse_canon ambiguous—use overlay diagnostic alias."
PTCDF_DIAGNOSTIC_QUARANTINE_REPLAY,PTCDF_Inventory_PhiSanity_Scripts,"Scripts that replay quarantine PT/CDF corrected-old-style visuals from mixed S_long without authoritative builder.",EXPERIMENTAL_PTCDF_DIAGNOSTIC,"Latest S_long observables P0 inventory paths","diagnostic_ptcdf_* PNG CSV markdown under quarantine naming","Quarantine inventory hazard demos explicit captions","Manuscript evidence equating to switching_corrected_old_authoritative",QUARANTINE_DIAGNOSTIC,NO,NO,NO,"QUARANTINED_MISLEADING_or_EXPERIMENTAL_PTCDF_DIAGNOSTIC_headers","registry misleading artifacts row if listed","scripts/run_switching_corrected_old_replay_inventory_and_phi1_visual_sanity.m","Distinct from CORRECTED_OLD_AUTH_BUILDER outputs."
CORRECTED_OLD_REPLAY_FROM_CANON_S_INPUT,CenteredCDF_Replay_FromCanonS_Quarantine,"Builds corrected-old-shaped CSVs using centered row backbone from S_percent maps only plus low-T SVD; not gated builder.",CORRECTED_CANONICAL_OLD_ANALYSIS quarantine lane,"Latest S_long observables P0","switching_corrected_old_* replay filenames status QUARANTINED headers","Forensic comparison vs authoritative builder record registry row","Manuscript authority without builder_status match",QUARANTINED_REPLAY,NO,NO,NO,"QUARANTINED_MISLEADING; CANONICAL_S_INPUT_ONLY","replay script id; comparison target builder record","scripts/run_sw_corr_old_replay_auth.m","Internal report template lines still risk MAIN_MANUSCRIPT wording—header warns."
GOVERNANCE_DOC_AND_PLANNING,PS1_MapSpine_Inventory_Adoption,"PowerShell and meta scripts emitting inventories matrices separation plans map spine without MATLAB physics.",governance_doc,"Repo CSV scans canonical paths","tables reports planning CSV markdown","Prioritize recover plan document gaps column semantics","Treat plan outputs as measured experimental results",PLANNING_AND_DOC,NO,N/A,N/A,"planning_only flags where applicable","script path timestamp","scripts/run_switching_canonical_map_spine.ps1; old_analysis_* inventory scripts","canonical_map_spine is diagnostic inventory not physics spine."
CORRECTED_OLD_TASK_QA_DIAGNOSTIC,Task002_QA_Closure_Visual_Only,"QA closure identities or refined heatmaps on authoritative corrected-old maps only not publication gate.",CORRECTED_CANONICAL_OLD_ANALYSIS QA lane,"switching_corrected_old_authoritative_*.csv; optional source_view slice","QA PNGs CSVs diagnostics folders","Consistency checks TASK gates","Substitute TASK_002B publication parity without gate",QA_DIAGNOSTIC,NO,NO,NO,"TASK_002A labels; NOT_MAIN_MANUSCRIPT where stated","authoritative paths hashed","Switching/diagnostics/run_switching_corrected_old_task002_*.m","Visual refinement explicitly not publication authorized in header."
RANK3_STAGE_CHAIN_CLASSIFICATION_AUDIT,Rank3_Classification_OnLockedRun,"Classification audit using identity-locked canonical run tables plus Stage E chain outputs verdicts.",DIAGNOSTIC_FORENSIC,"D4 E E5 tables canonical run id","Audit tables reports gated","Audit when prior stage gates satisfied","Bypass embargo gates new decomposition claims",AUDIT_CLASSIFICATION,NO,NO,NO,"canonicalRunId means locked results run not umbrella canonical","stage completion flags","Switching/analysis/run_switching_rank3_physical_classification_audit.m","Canonical in name refers to locked run id not CANON_GEN umbrella."
PHI_KAPPA_STABILITY_CANONICAL_SUBSET,PhiKappa_Stability_CanonicalVariant_Pairs,"Filter of precomputed stability pairs to canonical variant-pair space only; canonical means allowed pair list not CANON_GEN umbrella.",DIAGNOSTIC_FORENSIC,"phi_kappa_stability_summary.csv from prior run","Filtered stability outputs in run context","Narrow stability interpretation within allowed pairs","Present as independent producer of global phi kappa modes",STABILITY_SUBSET_FILTER,NO,NO,NO,"canonical_pair_space definition in script","upstream stability run_id","Switching/analysis/analyze_phi_kappa_canonical_space.m","LOW collision vs CANON_GEN if unqualified in prose."
