script_path,language,exists,module,related_task_or_prefix,role,reads_inputs,writes_outputs,creates_figures,uses_smoothing,uses_derivatives,uses_interpolation,uses_fitting,uses_time_warping,uses_rate_spectrum_logic,uses_reconstruction_or_decomposition,uses_model_selection,scientific_metric_computation,risk_level,matlab_conversion_needed,matlab_parity_needed,safe_to_keep_as_accelerator,notes
scripts\enforce_channel_identity_stage_b.ps1,PowerShell,YES,CrossModule,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\maintenance_status_pack.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,YES,
scripts\phase6E_unit_refinement_discovery.ps1,PowerShell,YES,CrossModule,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\phase6G2_structure_refinement_run.ps1,PowerShell,YES,CrossModule,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\phase6G3_structure_implementation_run.ps1,PowerShell,YES,CrossModule,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\phase6G3B_buffer_promotion_run.ps1,PowerShell,YES,CrossModule,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\print_canonical_verdicts.py,Python,YES,CrossModule,INFRA_02,table_audit,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,YES,
scripts\relaxation_phase3A0B_canon_envelope.ps1,PowerShell,YES,Relaxation,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\relaxation_phase3A0C_signal_threshold_envelope.ps1,PowerShell,YES,Relaxation,INFRA_02,figure_generation,varies,varies,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,HIGH,YES,YES,NO,Diagnostic bitmap outputs; check manuscript use policy.
scripts\relaxation_phase3A0D_recovered_mask.ps1,PowerShell,YES,Relaxation,INFRA_02,figure_generation,varies,varies,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,HIGH,YES,YES,NO,Diagnostic bitmap outputs; check manuscript use policy.
scripts\run_adversarial_observable_search.ps1,PowerShell,YES,CrossModule,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_CM_SW_RLX_AX_18B_turnover_shape_audit.ps1,PowerShell,YES,CrossModule,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_cm_sw_rlx_ax_18c_t_scaling_baseline.mjs,Node_mjs,YES,CrossModule,AX-18C,fitting,varies,varies,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,HIGH,YES,YES,NO,OLS; LOOCV; empirical scaling baseline in A-space.
scripts\run_cross_module_switching_relaxation_X_defense_replay_10.py,Python,YES,CrossModule,INFRA_02,scientific_metric,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,MEDIUM,YES,YES,NO,
scripts\run_phase6_mapping_execution.ps1,PowerShell,YES,CrossModule,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_phase6_mapping_execution_v2.ps1,PowerShell,YES,CrossModule,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_relaxation_A_old_new_reconciliation_15_compute.mjs,Node_mjs,YES,Relaxation,RLX-15,scientific_metric,varies,relaxation_A_old_new_reconciliation_15_numeric_comparison.csv,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,MEDIUM,YES,YES,NO,
scripts\run_relaxation_canonical_timescale_22.mjs,Node_mjs,YES,Relaxation,RLX-22,fitting,varies,relaxation_canonical_timescale_22_*,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,HIGH,YES,YES,NO,Fit-free and parametric tau proxies from curves (exp/KWW style outputs per script).
scripts\run_relaxation_internal_time_correlations_21.mjs,Node_mjs,YES,Relaxation,RLX-21,scientific_metric,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,MEDIUM,YES,YES,NO,Correlations/partials/LOO sensitivity from joined tables.
scripts\run_relaxation_phase2_A_canon_lock.py,Python,YES,Relaxation,INFRA_02,figure_generation,varies,varies,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,HIGH,YES,YES,NO,Optional matplotlib PNG diagnostics; companion to MATLAB lock.
scripts\run_relaxation_plateau_timewarp_22B.mjs,Node_mjs,YES,Relaxation,RLX-22B,timewarp,tables/relaxation/*.csv policy reports,tables/relaxation/relaxation_plateau_timewarp_22B_*.csv; reports/relaxation/relaxation_plateau_timewarp_22B.md,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,HIGH,YES,YES,NO,Interpolation; horizontal/vertical collapse; incremental timewarp gain vs tau proxies.
scripts\run_relaxation_slow_tail_robustness_24.mjs,Node_mjs,YES,Relaxation,RLX-24,rate_spectrum,varies,relaxation_slow_tail_robustness_24_*,NO,YES,YES,NO,YES,NO,YES,NO,NO,YES,HIGH,YES,YES,NO,Savitzky-style local quadratic derivative; derivative methods grid; charter tables.
scripts\run_relaxation_time_shape_QC_20_audit.mjs,Node_mjs,YES,Relaxation,INFRA_02,validation,varies,stdout JSON,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,YES,QC console JSON; no derivative pipeline in script core.
scripts\run_relaxation_universal_time_spectrum_23.mjs,Node_mjs,YES,Relaxation,RLX-23,rate_spectrum,Psi time series CSVs; RLX gate artifacts,relaxation_universal_time_spectrum_23_*,NO,YES,YES,NO,NO,NO,YES,NO,NO,YES,HIGH,YES,YES,NO,Moving average; central/forward rates on log-time; spectrum summaries.
scripts\run_snapshot.ps1,PowerShell,YES,CrossModule,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,YES,
scripts\run_snapshot_manual.ps1,PowerShell,YES,CrossModule,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,YES,
scripts\run_switching_canonical_map_spine.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_canonical_output_separation.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_canonical_paper_figures.ps1,PowerShell,YES,Switching,INFRA_02,figure_generation,varies,varies,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,HIGH,YES,YES,NO,Non-MATLAB PNG/PDF or chart image; not default-allowed for scientific figures per INFRA-01B unless approved.
scripts\run_switching_coordinate_identifiability_audit.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_corrected_old_authoritative_builder.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_corrected_old_builder_readiness_check.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_gauge_definition_atlas.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_old_analysis_canonical_adoption_plan.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_old_analysis_deep_inventory.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_old_analysis_validation_matrix.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_old_collapse_apples_to_apples.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_old_collapse_deep_replay_audit.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_old_collapse_map_provenance_audit.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_old_S_object_equivalence_audit.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_old_WI_recipe_replay.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_oldX_functional_replay_audit.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_P0_effective_observables_numeric_materialization.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_P0_effective_observables_recipe_parity.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_P0_old_collapse_freeze.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_P1_asymmetry_LR_replay.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_P2_T22_internal_crossover_audit.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_P4_next_recovery_target.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_phase4A_scaling_coordinate_screening.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_phase4C_collapse_stress_tests.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_phase5B_residual_absorption_test.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_phase5X_residual_overlap_audit.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_S_observable_identity_audit.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_switching_semantic_phase3_preflight.py,Python,YES,Switching,INFRA_02,table_audit,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,YES,
scripts\run_switching_Xeff_width_validity_atlas.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\run_xx_data_coverage_audit.ps1,PowerShell,YES,CrossModule,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\update_context.ps1,PowerShell,YES,CrossModule,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,YES,
temp_run_inventory.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,NO,Scratch/temporary; do not use as canonical evidence.
test_drift_check.ps1,PowerShell,YES,Unknown,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
tmp\_readtable_audit_gen.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,NO,Scratch/temporary; do not use as canonical evidence.
tmp\_readtable_audit_gen.py,Python,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,NO,Scratch/temporary; do not use as canonical evidence.
tmp\debug_loop.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,NO,Scratch/temporary; do not use as canonical evidence.
tmp\debug_prop.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,NO,Scratch/temporary; do not use as canonical evidence.
tmp\debug_pts.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,NO,Scratch/temporary; do not use as canonical evidence.
tmp\debug_simple.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,NO,Scratch/temporary; do not use as canonical evidence.
tmp\fix_aging_audit.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,NO,Scratch/temporary; do not use as canonical evidence.
tmp\generate_aging_audit.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,NO,Scratch/temporary; do not use as canonical evidence.
tmp\refresh_aging_timescale_outputs.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,NO,Scratch/temporary; do not use as canonical evidence.
tmp\run_canonical_reconstruction_loto.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,NO,Scratch/temporary; do not use as canonical evidence.
tmp\switching_scaling_canonical_test.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,NO,Scratch/temporary; do not use as canonical evidence.
tmp\working_tree_audit_gen.py,Python,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,NO,Scratch/temporary; do not use as canonical evidence.
tools\_export_agent24f_transition_chart.ps1,PowerShell,YES,Tools,INFRA_02,figure_generation,varies,varies,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,HIGH,YES,YES,NO,Non-MATLAB PNG/PDF or chart image; not default-allowed for scientific figures per INFRA-01B unless approved.
tools\agent24a_loocv_compute.ps1,PowerShell,YES,Tools,INFRA_02,figure_generation,varies,varies,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,HIGH,YES,YES,NO,System.Drawing or chart PNG emitters; treat as provisional until MATLAB parity or approval.
tools\agent24b_aging_prediction.ps1,PowerShell,YES,Tools,INFRA_02,figure_generation,varies,varies,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,HIGH,YES,YES,NO,System.Drawing or chart PNG emitters; treat as provisional until MATLAB parity or approval.
tools\agent24b_aging_prediction.py,Python,YES,Tools,INFRA_02,figure_generation,varies,varies,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,HIGH,YES,YES,NO,matplotlib savefig to figures/ or run_dir; scientific overlays.
