"FILE","FILE_TYPE","IN_BOUNDARY","CHANGE_SCOPE_VERDICT","FINAL_DECISION","DECISION_CONFIDENCE","ROLLBACK_PRIORITY","REASON","GOVERNANCE_PRESERVE_REQUIRED","EXECUTION_RISK_IF_REVERTED"
"Switching/analysis/run_alpha_observable_search.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Outside canonical closure per boundary truth; rollback would scope-correct but inventory explicitly required manual review—diff before revert to avoid discarding intentional noncanonical work.","NO","LOW"
"Switching/analysis/run_alpha_physical_validity_test.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Outside canonical closure per boundary truth; rollback would scope-correct but inventory explicitly required manual review—diff before revert to avoid discarding intentional noncanonical work.","NO","LOW"
"Switching/analysis/run_kappa2_opening_test.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Outside canonical closure per boundary truth; rollback would scope-correct but inventory explicitly required manual review—diff before revert to avoid discarding intentional noncanonical work.","NO","LOW"
"Switching/analysis/run_kappa2_operational_signature_test.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Outside canonical closure per boundary truth; rollback would scope-correct but inventory explicitly required manual review—diff before revert to avoid discarding intentional noncanonical work.","NO","LOW"
"Switching/analysis/run_minimal_canonical.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Outside canonical closure per boundary truth; rollback would scope-correct but inventory explicitly required manual review—diff before revert to avoid discarding intentional noncanonical work.","NO","LOW"
"Switching/analysis/run_parameter_robustness_switching_canonical.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Outside canonical closure per boundary truth; rollback would scope-correct but inventory explicitly required manual review—diff before revert to avoid discarding intentional noncanonical work.","NO","LOW"
"Switching/analysis/run_phi1_observable_phi2_driver_test.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Outside canonical closure per boundary truth; rollback would scope-correct but inventory explicitly required manual review—diff before revert to avoid discarding intentional noncanonical work.","NO","LOW"
"Switching/analysis/run_phi1_phi2_observable_closure_fixed.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Outside canonical closure per boundary truth; rollback would scope-correct but inventory explicitly required manual review—diff before revert to avoid discarding intentional noncanonical work.","NO","LOW"
"Switching/analysis/run_phi1_phi2_observable_closure_test.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Outside canonical closure per boundary truth; rollback would scope-correct but inventory explicitly required manual review—diff before revert to avoid discarding intentional noncanonical work.","NO","LOW"
"Switching/analysis/run_phi2_deformation_structure_test.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Outside canonical closure per boundary truth; rollback would scope-correct but inventory explicitly required manual review—diff before revert to avoid discarding intentional noncanonical work.","NO","LOW"
"Switching/analysis/run_phi2_extended_deformation_basis_test.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Outside canonical closure per boundary truth; rollback would scope-correct but inventory explicitly required manual review—diff before revert to avoid discarding intentional noncanonical work.","NO","LOW"
"Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Outside canonical closure per boundary truth; rollback would scope-correct but inventory explicitly required manual review—diff before revert to avoid discarding intentional noncanonical work.","NO","LOW"
"Switching/analysis/run_phi2_second_order_deformation_test.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Outside canonical closure per boundary truth; rollback would scope-correct but inventory explicitly required manual review—diff before revert to avoid discarding intentional noncanonical work.","NO","LOW"
"Switching/analysis/run_phi2_shape_physics_test.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Outside canonical closure per boundary truth; rollback would scope-correct but inventory explicitly required manual review—diff before revert to avoid discarding intentional noncanonical work.","NO","LOW"
"Switching/analysis/run_PT_kappa_relaxation_mapping.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","REVERT","HIGH","HIGH","Relaxation or PT-relaxation mapping under Switching/; outside Switching-only scope per incident boundary; breach inventory marked REVERT.","NO","NONE"
"Switching/analysis/run_PT_to_relaxation_mapping.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","REVERT","HIGH","HIGH","Relaxation or PT-relaxation mapping under Switching/; outside Switching-only scope per incident boundary; breach inventory marked REVERT.","NO","NONE"
"Switching/analysis/run_relaxation_deep_search.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","REVERT","HIGH","HIGH","Relaxation or PT-relaxation mapping under Switching/; outside Switching-only scope per incident boundary; breach inventory marked REVERT.","NO","NONE"
"Switching/analysis/run_relaxation_extraction_from_known_runs.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","REVERT","HIGH","HIGH","Relaxation or PT-relaxation mapping under Switching/; outside Switching-only scope per incident boundary; breach inventory marked REVERT.","NO","NONE"
"Switching/analysis/run_relaxation_outlier_audit.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","REVERT","HIGH","HIGH","Relaxation or PT-relaxation mapping under Switching/; outside Switching-only scope per incident boundary; breach inventory marked REVERT.","NO","NONE"
"Switching/analysis/run_switching_canonical.m","CANONICAL_CORE","YES","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Canonical entrypoint per canonical_boundary_truth.csv; reverting removes the Switching canonical runner.","YES","HIGH"
"Switching/analysis/run_width_interaction_closure_test_v2.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Outside canonical closure per boundary truth; rollback would scope-correct but inventory explicitly required manual review—diff before revert to avoid discarding intentional noncanonical work.","NO","LOW"
"Switching/analysis/switching_a1_vs_curvature_test.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Outside canonical closure per boundary truth; rollback would scope-correct but inventory explicitly required manual review—diff before revert to avoid discarding intentional noncanonical work.","NO","LOW"
"Switching/analysis/switching_full_scaling_collapse.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Outside canonical closure per boundary truth; rollback would scope-correct but inventory explicitly required manual review—diff before revert to avoid discarding intentional noncanonical work.","NO","LOW"
"Switching/analysis/switching_ridge_susceptibility_test.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Outside canonical closure per boundary truth; rollback would scope-correct but inventory explicitly required manual review—diff before revert to avoid discarding intentional noncanonical work.","NO","LOW"
"tables/_switching_file_kinds.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/agent_runs_log.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/agent_warnings_log.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/canonical_access_audit.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/CANONICAL_ANALYSIS_COMPLETE.txt","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","MANUAL_REVIEW_REQUIRED","MEDIUM","MEDIUM","Deletion of tracked table; may be intentional cleanup or mistaken loss; confirm before restore-from-HEAD.","YES","LOW"
"tables/canonical_boundary_truth.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/canonical_boundary_violations.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/canonical_boundary_violations_truth.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/canonical_call_graph.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/canonical_system_definition.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/execution_reliability_audit.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/infra_derivation_map.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/infra_duplication_conflicts.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/infra_source_of_truth_coverage.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/infra_source_of_truth_definition.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/infra_source_of_truth_map.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/out_of_plan_artifacts_registry.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/phase1_artifact_fix_audit.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/phase1_execution_audit.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/phi_kappa_canonical_verdict.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","MANUAL_REVIEW_REQUIRED","MEDIUM","MEDIUM","Deletion of tracked table; may be intentional cleanup or mistaken loss; confirm before restore-from-HEAD.","YES","LOW"
"tables/phi_kappa_stability_canonical_status.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","MANUAL_REVIEW_REQUIRED","MEDIUM","MEDIUM","Deletion of tracked table; may be intentional cleanup or mistaken loss; confirm before restore-from-HEAD.","YES","LOW"
"tables/phi_kappa_stability_canonical_summary.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","MANUAL_REVIEW_REQUIRED","MEDIUM","MEDIUM","Deletion of tracked table; may be intentional cleanup or mistaken loss; confirm before restore-from-HEAD.","YES","LOW"
"tables/preflight_agent_robustness.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/preflight_control_layer_check.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/preflight_docs_consistency.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/preflight_execution_check.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/preflight_failure_modes.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/preflight_isolation_check.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/preflight_leakage_report.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/preflight_leakage_report_after.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/preflight_source_of_truth_check.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/probe_test.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/run_context_diagnosis.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/run_fingerprint.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/runtime_classification.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/runtime_execution_markers_fallback.txt","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Operational marker spill per canonical_boundary_violations_truth; clearing vs keeping is policy, not automatic revert.","YES","LOW"
"tables/switching_aging_utils_audit.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_analysis_canonical_final.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_analysis_conflicts.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_analysis_deduplicated.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_analysis_duplicates.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_analysis_full_classification.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_analysis_gaps.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_analysis_inventory.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_analysis_inventory_grouped.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_analysis_progress_survey.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_analysis_repair_difficulty.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_analysis_repair_summary.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_analysis_system_map.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_canonical_analysis_clean.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_canonical_analysis_map.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_canonical_boundary_and_runs.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_canonical_component_classification.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_canonical_connectivity.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_canonical_core_vs_substrate.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_canonical_definition_audit.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_canonical_definition_extraction.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_canonical_dependencies.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_canonical_drift_report.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_canonical_duplicates.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_canonical_entrypoint.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_canonical_entrypoint_candidates.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_canonical_equivalence.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_canonical_identity.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
