"artifact_path","exists_on_disk","git_tracked","git_ignored","ignore_rule_source","file_size_bytes","artifact_family","evidence_role","commit_visibility_risk","tracking_recommendation","archival_policy","requires_git_add_f","safe_to_force_add","recommended_command","reason"
"tables/switching_corrected_old_authoritative_mode1_reconstruction_map.csv","True","NO","YES",".gitignore:130:tables/*_map* | tables/switching_corrected_old_authoritative_mode1_reconstruction_map.csv","2758","CORRECTED_OLD_NUMERIC","authoritative_evidence_tables","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_corrected_old_authoritative_mode1_reconstruction_map.csv""","Bit-identical manuscript/corrected-old evidence bundle; total size ~21KB"
"tables/switching_corrected_old_authoritative_residual_after_mode1_map.csv","True","NO","YES",".gitignore:130:tables/*_map* | tables/switching_corrected_old_authoritative_residual_after_mode1_map.csv","2820","CORRECTED_OLD_NUMERIC","authoritative_evidence_tables","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_corrected_old_authoritative_residual_after_mode1_map.csv""","Bit-identical manuscript/corrected-old evidence bundle; total size ~21KB"
"tables/switching_corrected_old_authoritative_quality_metrics.csv","True","NO","YES",".gitignore:128:tables/*metrics* | tables/switching_corrected_old_authoritative_quality_metrics.csv","1140","CORRECTED_OLD_NUMERIC","authoritative_evidence_tables","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_corrected_old_authoritative_quality_metrics.csv""","Bit-identical manuscript/corrected-old evidence bundle; total size ~21KB"
"reports/switching_corrected_canonical_current_state.md","True","NO","YES",".gitignore:71:reports/** | reports/switching_corrected_canonical_current_state.md","6284","GOVERNANCE_CLARITY","entrypoint","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""reports/switching_corrected_canonical_current_state.md""","Anti-confusion registry / gate narrative"
"tables/switching_corrected_old_authoritative_artifact_index.csv","True","NO","YES",".gitignore:88:tables/** | tables/switching_corrected_old_authoritative_artifact_index.csv","10674","GOVERNANCE_CLARITY","artifact_register","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_corrected_old_authoritative_artifact_index.csv""","Anti-confusion registry / gate narrative"
"reports/switching_corrected_old_authoritative_artifact_index.md","True","NO","YES",".gitignore:71:reports/** | reports/switching_corrected_old_authoritative_artifact_index.md","5323","GOVERNANCE_CLARITY","artifact_register","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""reports/switching_corrected_old_authoritative_artifact_index.md""","Anti-confusion registry / gate narrative"
"tables/switching_backbone_family_tree.csv","True","NO","YES",".gitignore:88:tables/** | tables/switching_backbone_family_tree.csv","4840","GOVERNANCE_CLARITY","lineage","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_backbone_family_tree.csv""","Anti-confusion registry / gate narrative"
"reports/switching_backbone_family_tree.md","True","NO","YES",".gitignore:71:reports/** | reports/switching_backbone_family_tree.md","2410","GOVERNANCE_CLARITY","lineage","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""reports/switching_backbone_family_tree.md""","Anti-confusion registry / gate narrative"
"tables/switching_canonical_S_long_column_namespace.csv","True","NO","YES",".gitignore:88:tables/** | tables/switching_canonical_S_long_column_namespace.csv","2006","GOVERNANCE_CLARITY","column_contract","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_canonical_S_long_column_namespace.csv""","Anti-confusion registry / gate narrative"
"reports/switching_canonical_S_long_column_namespace.md","True","NO","YES",".gitignore:71:reports/** | reports/switching_canonical_S_long_column_namespace.md","3204","GOVERNANCE_CLARITY","column_contract","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""reports/switching_canonical_S_long_column_namespace.md""","Anti-confusion registry / gate narrative"
"tables/switching_quarantine_index.csv","True","NO","YES",".gitignore:88:tables/** | tables/switching_quarantine_index.csv","6989","GOVERNANCE_CLARITY","quarantine","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_quarantine_index.csv""","Anti-confusion registry / gate narrative"
"reports/switching_quarantine_index.md","True","NO","YES",".gitignore:71:reports/** | reports/switching_quarantine_index.md","4049","GOVERNANCE_CLARITY","quarantine","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""reports/switching_quarantine_index.md""","Anti-confusion registry / gate narrative"
"tables/switching_reconstruction_task_id_alignment.csv","True","NO","YES",".gitignore:88:tables/** | tables/switching_reconstruction_task_id_alignment.csv","1342","GOVERNANCE_CLARITY","task_vocab","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_reconstruction_task_id_alignment.csv""","Anti-confusion registry / gate narrative"
"reports/switching_reconstruction_task_id_alignment.md","True","NO","YES",".gitignore:71:reports/** | reports/switching_reconstruction_task_id_alignment.md","1903","GOVERNANCE_CLARITY","task_vocab","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""reports/switching_reconstruction_task_id_alignment.md""","Anti-confusion registry / gate narrative"
"tables/switching_namespace_confusion_remediation_status.csv","True","NO","YES",".gitignore:117:tables/*status* | tables/switching_namespace_confusion_remediation_status.csv","1093","GOVERNANCE_CLARITY","remediation_status","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_namespace_confusion_remediation_status.csv""","Anti-confusion registry / gate narrative"
"tables/switching_high_risk_artifact_header_hardening.csv","True","NO","YES",".gitignore:88:tables/** | tables/switching_high_risk_artifact_header_hardening.csv","6874","GOVERNANCE_CLARITY","header_audit","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_high_risk_artifact_header_hardening.csv""","Anti-confusion registry / gate narrative"
"reports/switching_high_risk_artifact_header_hardening.md","True","NO","YES",".gitignore:71:reports/** | reports/switching_high_risk_artifact_header_hardening.md","2997","GOVERNANCE_CLARITY","header_audit","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""reports/switching_high_risk_artifact_header_hardening.md""","Anti-confusion registry / gate narrative"
"tables/switching_broad_artifact_ambiguity_sweep.csv","True","NO","YES",".gitignore:88:tables/** | tables/switching_broad_artifact_ambiguity_sweep.csv","9678","GOVERNANCE_CLARITY","ambiguity_sweep","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_broad_artifact_ambiguity_sweep.csv""","Anti-confusion registry / gate narrative"
"reports/switching_broad_artifact_ambiguity_sweep.md","True","NO","YES",".gitignore:71:reports/** | reports/switching_broad_artifact_ambiguity_sweep.md","5550","GOVERNANCE_CLARITY","ambiguity_sweep","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""reports/switching_broad_artifact_ambiguity_sweep.md""","Anti-confusion registry / gate narrative"
"tables/switching_historical_diagnostic_artifact_inventory.csv","True","NO","YES",".gitignore:122:tables/*inventory* | tables/switching_historical_diagnostic_artifact_inventory.csv","1706","GOVERNANCE_CLARITY","historical_inventory","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_historical_diagnostic_artifact_inventory.csv""","Anti-confusion registry / gate narrative"
"reports/switching_historical_diagnostic_artifact_inventory.md","True","NO","YES",".gitignore:71:reports/** | reports/switching_historical_diagnostic_artifact_inventory.md","2494","GOVERNANCE_CLARITY","historical_inventory","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""reports/switching_historical_diagnostic_artifact_inventory.md""","Anti-confusion registry / gate narrative"
"tables/switching_final_governance_micro_pass.csv","True","NO","YES",".gitignore:88:tables/** | tables/switching_final_governance_micro_pass.csv","1558","GOVERNANCE_CLARITY","micro_pass","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_final_governance_micro_pass.csv""","Anti-confusion registry / gate narrative"
"reports/switching_final_governance_micro_pass.md","True","NO","YES",".gitignore:71:reports/** | reports/switching_final_governance_micro_pass.md","4358","GOVERNANCE_CLARITY","micro_pass","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""reports/switching_final_governance_micro_pass.md""","Anti-confusion registry / gate narrative"
"tables/switching_final_governance_micro_pass_status.csv","True","NO","YES",".gitignore:117:tables/*status* | tables/switching_final_governance_micro_pass_status.csv","507","GOVERNANCE_CLARITY","micro_pass","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_final_governance_micro_pass_status.csv""","Anti-confusion registry / gate narrative"
"tables/switching_full_integrity_clarity_audit_artifact_lineage_commit_visibility.csv","True","NO","YES",".gitignore:120:tables/*audit* | tables/switching_full_integrity_clarity_audit_artifact_lineage_commit_visibility.csv","1788","INTEGRITY_AUDIT_OUTPUT","p0_closure_audit","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_full_integrity_clarity_audit_artifact_lineage_commit_visibility.csv""","Recording R01/R02 resolution audit trail"
"tables/switching_full_integrity_clarity_audit_canonical_isolation.csv","True","NO","YES",".gitignore:120:tables/*audit* | tables/switching_full_integrity_clarity_audit_canonical_isolation.csv","1598","INTEGRITY_AUDIT_OUTPUT","p0_closure_audit","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_full_integrity_clarity_audit_canonical_isolation.csv""","Recording R01/R02 resolution audit trail"
"tables/switching_full_integrity_clarity_audit_corrected_old_inputs.csv","True","NO","YES",".gitignore:120:tables/*audit* | tables/switching_full_integrity_clarity_audit_corrected_old_inputs.csv","1948","INTEGRITY_AUDIT_OUTPUT","p0_closure_audit","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_full_integrity_clarity_audit_corrected_old_inputs.csv""","Recording R01/R02 resolution audit trail"
"tables/switching_full_integrity_clarity_audit_current_state.csv","True","NO","YES",".gitignore:120:tables/*audit* | tables/switching_full_integrity_clarity_audit_current_state.csv","808","INTEGRITY_AUDIT_OUTPUT","p0_closure_audit","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_full_integrity_clarity_audit_current_state.csv""","Recording R01/R02 resolution audit trail"
"tables/switching_full_integrity_clarity_audit_formula_numeric.csv","True","NO","YES",".gitignore:120:tables/*audit* | tables/switching_full_integrity_clarity_audit_formula_numeric.csv","778","INTEGRITY_AUDIT_OUTPUT","p0_closure_audit","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_full_integrity_clarity_audit_formula_numeric.csv""","Recording R01/R02 resolution audit trail"
"tables/switching_full_integrity_clarity_audit_git_state.csv","True","NO","YES",".gitignore:120:tables/*audit* | tables/switching_full_integrity_clarity_audit_git_state.csv","9619","INTEGRITY_AUDIT_OUTPUT","p0_closure_audit","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_full_integrity_clarity_audit_git_state.csv""","Recording R01/R02 resolution audit trail"
"tables/switching_full_integrity_clarity_audit_ptcdf_quarantine.csv","True","NO","YES",".gitignore:120:tables/*audit* | tables/switching_full_integrity_clarity_audit_ptcdf_quarantine.csv","1309","INTEGRITY_AUDIT_OUTPUT","p0_closure_audit","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_full_integrity_clarity_audit_ptcdf_quarantine.csv""","Recording R01/R02 resolution audit trail"
"tables/switching_full_integrity_clarity_audit_recommended_fixes.csv","True","NO","YES",".gitignore:120:tables/*audit* | tables/switching_full_integrity_clarity_audit_recommended_fixes.csv","1045","INTEGRITY_AUDIT_OUTPUT","p0_closure_audit","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_full_integrity_clarity_audit_recommended_fixes.csv""","Recording R01/R02 resolution audit trail"
"tables/switching_full_integrity_clarity_audit_risk_register.csv","True","NO","YES",".gitignore:120:tables/*audit* | tables/switching_full_integrity_clarity_audit_risk_register.csv","1833","INTEGRITY_AUDIT_OUTPUT","p0_closure_audit","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_full_integrity_clarity_audit_risk_register.csv""","Recording R01/R02 resolution audit trail"
"tables/switching_full_integrity_clarity_audit_status.csv","True","NO","YES",".gitignore:120:tables/*audit* | tables/switching_full_integrity_clarity_audit_status.csv","1283","INTEGRITY_AUDIT_OUTPUT","p0_closure_audit","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_full_integrity_clarity_audit_status.csv""","Recording R01/R02 resolution audit trail"
"tables/switching_full_integrity_clarity_audit_status_contradictions.csv","True","NO","YES",".gitignore:120:tables/*audit* | tables/switching_full_integrity_clarity_audit_status_contradictions.csv","1937","INTEGRITY_AUDIT_OUTPUT","p0_closure_audit","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_full_integrity_clarity_audit_status_contradictions.csv""","Recording R01/R02 resolution audit trail"
"reports/switching_full_integrity_clarity_audit.md","True","NO","YES",".gitignore:71:reports/** | reports/switching_full_integrity_clarity_audit.md","10654","INTEGRITY_AUDIT_OUTPUT","p0_closure_audit","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""reports/switching_full_integrity_clarity_audit.md""","Narrative audit"
"docs/decisions/switching_main_narrative_namespace_decision.md","True","NO","NO","(none)","4774","GOVERNANCE_DECISION","policy_note","MED_untracked","TRACK_OPTIONAL","GIT_ARCHIVE_OR_REVIEW","NO","YES","git add -f ""docs/decisions/switching_main_narrative_namespace_decision.md""","Non-root Switching decision doc; confirm scope before add"
"scripts/run_switching_corrected_old_replay_inventory_and_phi1_visual_sanity.m","True","NO","NO","(none)","28124","QUARANTINED_DIAGNOSTIC","hazard_script","MED_untracked","TRACK_OPTIONAL","REGISTRY_ONLY","NO","PARTIAL","git add -f ""scripts/run_switching_corrected_old_replay_inventory_and_phi1_visual_sanity.m""","Listed quarantine; add only if maintaining hazard inventory in-repo"
"Switching/diagnostics/run_switching_cdf_backbone_repair_aggressiveness_audit.m","True","NO","NO","(none)","44342","SWITCHING_DIAGNOSTIC","cdf_audit","LOW_untracked","TRACK_OPTIONAL","GIT_ARCHIVE","NO","YES","git add -f ""Switching/diagnostics/run_switching_cdf_backbone_repair_aggressiveness_audit.m""","Diagnostic helper; optional parity with analysis folder"
"scripts/tmp_run_switching_canonical_paper_figures.m","True","NO","NO","(none)","9442","SCRATCH","temp","LOW_untracked","DO_NOT_TRACK","EXCLUDE","NO","NO","(none)","Temporary paper figure driver — do not archive"
"tables/switching_p0_tracking_archival_decision_audit.csv","True","NO","YES",".gitignore:120:tables/*audit* | tables/switching_p0_tracking_archival_decision_audit.csv","21749","P0_AUDIT_OUTPUT","closure_record","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_p0_tracking_archival_decision_audit.csv""","Meta: this decision audit table"
"tables/switching_p0_tracking_archival_decision_status.csv","True","NO","YES",".gitignore:117:tables/*status* | tables/switching_p0_tracking_archival_decision_status.csv","872","P0_AUDIT_OUTPUT","verdict_row","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_p0_tracking_archival_decision_status.csv""","Verdict row for P0 tracking audit"
"reports/switching_p0_tracking_archival_decision_audit.md","True","NO","YES",".gitignore:71:reports/** | reports/switching_p0_tracking_archival_decision_audit.md","11716","P0_AUDIT_OUTPUT","narrative","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""reports/switching_p0_tracking_archival_decision_audit.md""","P0 tracking audit narrative"
"tables/switching_p0_force_add_plan.csv","True","NO","YES",".gitignore:88:tables/** | tables/switching_p0_force_add_plan.csv","10557","P0_AUDIT_OUTPUT","explicit_plan","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_p0_force_add_plan.csv""","Explicit force-add ordering (50 TRACK_REQUIRED paths)"
"tables/switching_corrected_old_finite_grid_interpolation_status.csv","True","YES","NO","(none)","3237","TASK_001_PROCESS","finite_grid_gate","LOW","ALREADY_TRACKED","NONE","NO","YES","(none)","Committed in 72215df; no force-add"
"figures/switching/diagnostics/corrected_old_task002_quality_QA_refined/switching_corrected_old_QA_refined_source_backbone_mode1_residual.png","True","YES","NO","(none)","222118","TASK_002A_PROCESS","diagnostic_QA_png","LOW","ALREADY_TRACKED","NONE","NO","YES","(none)","Committed in 72215df; non-publication QA"
