path,classification,connected_reader_hub_k_n2_note,recommended_handling,safe_to_stage_now
scripts/run_cross_module_switching_relaxation_X_defense_replay_10.py,CROSS_MODULE_SWITCHING_RELAXATION_CANDIDATE,Python sibling; same boundary issues as .m twin.,MOVE_TO_MAINTENANCE_REVIEW,NO
scripts/run_cross_module_switching_relaxation_X_denominator_role_11B.m,CROSS_MODULE_SWITCHING_RELAXATION_CANDIDATE,Cross-module denominator role—Relaxation context required.,MOVE_TO_MAINTENANCE_REVIEW,NO
scripts/run_cross_module_switching_relaxation_X_eff_deep_dive_11A.m,CROSS_MODULE_SWITCHING_RELAXATION_CANDIDATE,Cross-module deep dive—Relaxation context required.,MOVE_TO_MAINTENANCE_REVIEW,NO
scripts/run_CM_SW_RLX_AX_12_strict_domain_repaired.m,CROSS_MODULE_SWITCHING_RELAXATION_CANDIDATE,AX bridge series; not Switching-only.,MOVE_TO_MAINTENANCE_REVIEW,NO
scripts/run_CM_SW_RLX_AX_13_xeff_invd_decision.m,CROSS_MODULE_SWITCHING_RELAXATION_CANDIDATE,AX bridge series; not Switching-only.,MOVE_TO_MAINTENANCE_REVIEW,NO
scripts/run_CM_SW_RLX_AX_14B_current_altwidth_robustness.m,CROSS_MODULE_SWITCHING_RELAXATION_CANDIDATE,AX bridge series; not Switching-only.,MOVE_TO_MAINTENANCE_REVIEW,NO
scripts/run_CM_SW_RLX_AX_15_paper_variable_uniqueness.m,CROSS_MODULE_SWITCHING_RELAXATION_CANDIDATE,Touches paper naming—coordinate with N2 owners; still cross-module.,MOVE_TO_MAINTENANCE_REVIEW,NO
scripts/run_CM_SW_RLX_AX_16A_dimensional_consistency_audit.m,CROSS_MODULE_SWITCHING_RELAXATION_CANDIDATE,Dimensional audit across modules.,MOVE_TO_MAINTENANCE_REVIEW,NO
scripts/run_CM_SW_RLX_AX_17B_visual_comparison.m,CROSS_MODULE_SWITCHING_RELAXATION_CANDIDATE,Visual comparison harness across modules.,MOVE_TO_MAINTENANCE_REVIEW,NO
scripts/run_CM_SW_RLX_AX_18B_turnover_shape_audit.ps1,CROSS_MODULE_SWITCHING_RELAXATION_CANDIDATE,PowerShell AX entry—cross-module ops.,MOVE_TO_MAINTENANCE_REVIEW,NO
scripts/run_CM_SW_RLX_AX_19A_closure.m,CROSS_MODULE_SWITCHING_RELAXATION_CANDIDATE,Closure runner—bundle with AX series decision.,MOVE_TO_MAINTENANCE_REVIEW,NO
docs/cross_module_switching_relaxation_canonical_placement_contract.md,CROSS_MODULE_SWITCHING_RELAXATION_CANDIDATE,Draft placement contract—exclude from pure Switching-only threads.,EXCLUDE_FROM_SWITCHING_CHAT,NO
docs/cross_module_switching_relaxation_global_closure_08.md,CROSS_MODULE_SWITCHING_RELAXATION_CANDIDATE,Draft closure notes—cross-module.,EXCLUDE_FROM_SWITCHING_CHAT,NO
docs/cross_module_switching_relaxation_index_draft.md,CROSS_MODULE_SWITCHING_RELAXATION_CANDIDATE,Draft index—defines CM boundary; exclude from narrow Switching chat.,EXCLUDE_FROM_SWITCHING_CHAT,NO
reports/maintenance/phase5C_switching_leftover_review.md,SWITCHING_MAINTENANCE_EVIDENCE,Historical snapshot at dated HEAD; complements committed audits but is maintenance evidence.,MOVE_TO_MAINTENANCE_REVIEW,NO
tables/maintenance_phase5C_switching_leftover_review.csv,SWITCHING_MAINTENANCE_EVIDENCE,Tabular evidence for phase5C review pass.,MOVE_TO_MAINTENANCE_REVIEW,NO
tables/maintenance_phase5C_switching_leftover_review_status.csv,SWITCHING_MAINTENANCE_EVIDENCE,Status table for phase5C review pass.,MOVE_TO_MAINTENANCE_REVIEW,NO
scripts/run_switching_oldX_functional_replay_audit.ps1,STALE_OR_DEBUG_CANDIDATE,Legacy functional replay audit script; likely one-off forensic.,ARCHIVE_OR_DELETE_LATER_WITH_EXPLICIT_APPROVAL,NO
scripts/tmp_run_switching_canonical_paper_figures.m,STALE_OR_DEBUG_CANDIDATE,tmp prefix + canonical paper paths → overlaps N2 theme but unsafe to treat as production without cleanup.,REVIEW_FOR_COMMIT_LATER,NO
scripts/run_sw_old_inv_phi1_viz.m,NEEDS_SEPARATE_REVIEW,Legacy viz/debug; unclear supersession vs corrected-old stack—owner decision.,REVIEW_FOR_COMMIT_LATER,NO
