"component_name","path","type","suspected_role","notes"
"agent24b_aging_prediction.py","tools/agent24b_aging_prediction.py","EXECUTION","Aging prediction script","Python"
"agent24h_render_figures.ps1","tools/agent24h_render_figures.ps1","EXECUTION","Figure rendering","PS1"
"alternative_coordinate_search.ps1","tools/alternative_coordinate_search.ps1","EXECUTION","Search orchestration","PS1"
"build_alpha_res_trajectory_outputs.ps1","tools/build_alpha_res_trajectory_outputs.ps1","EXECUTION","Build trajectory outputs","PS1"
"build_kappa2_phen_inputs.m","tools/build_kappa2_phen_inputs.m","UTILITY","Build inputs for phen pipeline","MATLAB helper"
"check_io_consistency.ps1","tools/check_io_consistency.ps1","VALIDATION","IO consistency checks","PS1"
"claims/list_claims.m","tools/claims/list_claims.m","UTILITY","List claims helper","Subfolder claims"
"classify_run_status.m","tools/classify_run_status.m","VALIDATION","Classify run status","Status taxonomy"
"compute_aging_hermetic_agent24i.ps1","tools/compute_aging_hermetic_agent24i.ps1","EXECUTION","Hermetic compute","PS1"
"compute_alpha_from_pt_agent20b.ps1","tools/compute_alpha_from_pt_agent20b.ps1","EXECUTION","Alpha computation","PS1"
"enforce_canonical_phi1_source.m","tools/enforce_canonical_phi1_source.m","VALIDATION","Enforce canonical phi1 source","Canonical enforcement"
"ensure_dir.m","tools/ensure_dir.m","UTILITY","Ensure directory exists","Filesystem"
"export_observables.m","tools/export_observables.m","IO","Export observables","Data export"
"figure_repair/apply_fig_style_repair.m","tools/figure_repair/apply_fig_style_repair.m","IO","Apply figure style repair","Figure pipeline"
"figure_repair/demo_repair_example.m","tools/figure_repair/demo_repair_example.m","UNKNOWN","Demo/example","Demo script"
"figure_repair/export_repaired_figure.m","tools/figure_repair/export_repaired_figure.m","IO","Export repaired figure","Export"
"figure_repair/inspect_fig_contents.m","tools/figure_repair/inspect_fig_contents.m","UTILITY","Inspect .fig contents","Introspection"
"figure_repair/repair_fig_directory.m","tools/figure_repair/repair_fig_directory.m","EXECUTION","Batch repair directory","Directory-level repair"
"figure_repair/repair_fig_file.m","tools/figure_repair/repair_fig_file.m","IO","Repair single figure file","File-level"
"figure_repair/run_validation_suite.m","tools/figure_repair/run_validation_suite.m","VALIDATION","Run validation suite for repairs","Named validation"
"figure_repair/validate_repair_integrity.m","tools/figure_repair/validate_repair_integrity.m","VALIDATION","Validate repair integrity","Named validate"
"figure_repair/write_repair_metadata.m","tools/figure_repair/write_repair_metadata.m","IO","Write repair metadata","Metadata sidecar"
"figures/apply_publication_style.m","tools/figures/apply_publication_style.m","UTILITY","Publication styling","Figures subfolder"
"figures/create_figure.m","tools/figures/create_figure.m","UTILITY","Figure creation helper","Figures subfolder"
"figures/figure_quality_check.m","tools/figures/figure_quality_check.m","VALIDATION","Figure quality validation","Named check"
"generate_run_fingerprint.ps1","tools/generate_run_fingerprint.ps1","UTILITY","Generate run fingerprint","Metadata"
"get_run_status_value.m","tools/get_run_status_value.m","UTILITY","Read status value","Status accessor"
"getLatestRun.m","tools/getLatestRun.m","IO","Locate latest run","Run discovery"
"getRunOutputDir.m","tools/getRunOutputDir.m","IO","Resolve run output directory","Path"
"init_run_output_dir.m","tools/init_run_output_dir.m","IO","Initialize run output directory","Path setup"
"list_runs.m","tools/list_runs.m","IO","List runs","Run listing"
"load_observables.m","tools/load_observables.m","IO","Load observables","Data load"
"load_run.m","tools/load_run.m","IO","Load run data","Data load"
"load_run_manifest.m","tools/load_run_manifest.m","IO","Load run manifest","Manifest"
"loadModuleCanonicalStatus.m","tools/loadModuleCanonicalStatus.m","IO","Load module canonical status","Status load"
"openLatestRun.m","tools/openLatestRun.m","UTILITY","Open latest run artifacts","Convenience"
"pre_execution_guard.ps1","tools/pre_execution_guard.ps1","VALIDATION","Pre-run guard checks","Guard script"
"pt_width_spread_from_audit.py","tools/pt_width_spread_from_audit.py","EXECUTION","Audit-derived computation","Python"
"resolve_results_input_dir.m","tools/resolve_results_input_dir.m","IO","Resolve results input directory","Path resolution"
"rmse_closure_compute.ps1","tools/rmse_closure_compute.ps1","EXECUTION","Closure RMSE computation","PS1"
"run_agent23a_R_vs_state.ps1","tools/run_agent23a_R_vs_state.ps1","EXECUTION","Agent23a orchestration","PS1"
"run_artifact_path.m","tools/run_artifact_path.m","UTILITY","Artifact path resolution","Path helper"
"run_collective_state_agent19c.ps1","tools/run_collective_state_agent19c.ps1","EXECUTION","Agent19c orchestration","PS1"
"run_fingerprint.ps1","tools/run_fingerprint.ps1","UTILITY","Fingerprint helper","PS1"
"run_kappa1_from_pt_agent20a.ps1","tools/run_kappa1_from_pt_agent20a.ps1","EXECUTION","Agent20a kappa1","PS1"
"run_kappa1_from_pt_agent20a_fix_aligned.ps1","tools/run_kappa1_from_pt_agent20a_fix_aligned.ps1","EXECUTION","Agent20a aligned variant","PS1"
"run_kappa2_phen_audit.m","tools/run_kappa2_phen_audit.m","EXECUTION","Kappa2 phen audit driver","run_*.m"
"run_kappa2_state_vs_geometry.ps1","tools/run_kappa2_state_vs_geometry.ps1","EXECUTION","Kappa2 state vs geometry","PS1"
"run_kappa2_state_vs_geometry.py","tools/run_kappa2_state_vs_geometry.py","EXECUTION","Kappa2 state vs geometry","Python"
"run_matlab_safe.bat","tools/run_matlab_safe.bat","EXECUTION","Safe MATLAB invocation","Batch wrapper"
"run_phi1_curvature_generator_test.m","tools/run_phi1_curvature_generator_test.m","EXECUTION","Phi1 test driver","run_*.m"
"run_phi1_from_pt_shape_test.m","tools/run_phi1_from_pt_shape_test.m","EXECUTION","Phi1 shape test driver","run_*.m"
"run_review/generate_run_review_manifests.m","tools/run_review/generate_run_review_manifests.m","IO","Generate review manifests","Manifest generation"
"run_review/run_review_template.json","tools/run_review/run_review_template.json","IO","Review template","JSON template"
"run_review_audit.ps1","tools/run_review_audit.ps1","VALIDATION","Run review audit","Audit PS1"
"runner_probe_error.txt","tools/runner_probe_error.txt","UNKNOWN","Probe log","Text log artifact"
"runner_probe_output.txt","tools/runner_probe_output.txt","UNKNOWN","Probe log","Text log artifact"
"save_run_figure.m","tools/save_run_figure.m","IO","Save run figure","Persist figure"
"save_run_report.m","tools/save_run_report.m","IO","Save run report","Persist report"
"save_run_table.m","tools/save_run_table.m","IO","Save run table","Persist table"
"survey_audit/audit_run_reviews.m","tools/survey_audit/audit_run_reviews.m","VALIDATION","Audit run reviews","Survey tooling"
"survey_builder/build_rolling_surveys.m","tools/survey_builder/build_rolling_surveys.m","UTILITY","Build rolling surveys","Survey tooling"
"survey_registry/load_registry.m","tools/survey_registry/load_registry.m","IO","Load survey registry","Registry load"
"switching_canonical_control_scan.ps1","tools/switching_canonical_control_scan.ps1","EXECUTION","Switching canonical scan","PS1"
"switching_canonical_run_closure.m","tools/switching_canonical_run_closure.m","VALIDATION","Canonical run closure check","Closure in name"
"tau_vs_barrier_minimal_probe.m","tools/tau_vs_barrier_minimal_probe.m","VALIDATION","Minimal probe script","Probe"
"tau_vs_barrier_minimal_probe.ps1","tools/tau_vs_barrier_minimal_probe.ps1","EXECUTION","Minimal probe orchestration","PS1"
"validate_matlab_runnable.ps1","tools/validate_matlab_runnable.ps1","VALIDATION","MATLAB runnable validation","Validator"
"write_execution_marker.m","tools/write_execution_marker.m","IO","Write execution marker","Marker file"
"switching replay guard rules (doc)","reports/switching_replay_guard_rules.md","UNKNOWN","Guard/policy documentation","Markdown; filename matches guard search"
"matlab runnable guardrail (doc)","reports/matlab_runnable_guardrail.md","UNKNOWN","Guardrail documentation","Markdown"
"figure repair guardrail tests (doc)","docs/figure_repair_guardrail_tests.md","UNKNOWN","Guardrail test documentation","Markdown"
"documentation guardrails update (doc)","results_old/repository_audit/documentation_guardrails_update.md","UNKNOWN","Historical guardrails audit note","Markdown under results_old"
"validate relaxation band boundaries","Relaxation ver3/diagnostics/validate_relaxation_band_boundaries.m","VALIDATION","Relaxation band boundary checks","Filename matches validate* search"
